항목,2017/12,2018/12,2019/12,"2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,"1,376","1,170","1,338","-1,422",333,,123, 
  당기순이익(지배)＜당기＞,138.6,117.8,134.7,-143.1,36.9,, , 
  보통주수정평균발행주식수＜당기＞,"10,068,027","10,068,027","10,068,027","10,068,027","11,078,438","11,668,027", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"6,331","7,521","9,075","7,802","7,949",,2, 
  자본총계(지배)＜당기＞,637.3,757.1,870.8,748.6,889.9,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"10,066,616","10,066,616","9,595,514","9,595,514","11,195,514","11,195,514", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,107,-498,"2,849","-1,060","-1,024",,3, 
  영업활동현금흐름＜당기＞,10.8,-50.1,286.8,-106.8,-113.4,, , 
  보통주수정평균발행주식수＜당기＞,"10,068,027","10,068,027","10,068,027","10,068,027","11,078,438","11,668,027", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"19,450","21,913","25,472","12,297","12,552",,2, 
  매출액＜당기＞,"1,958.3","2,206.2","2,564.6","1,238.1","1,390.6",, , 
  보통주수정평균발행주식수＜당기＞,"10,068,027","10,068,027","10,068,027","10,068,027","11,078,438","11,668,027", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,4.20,3.51,3.14,N/A,35.27,,"1,107.03", 
  보통주수정주가(기말)＜당기＞,"5,780","4,100","4,205","4,980","11,750","9,180", , 
  EPS＜당기＞,"1,376","1,170","1,338","-1,422",333,, , 
펼치기 PBR,0.91,0.55,0.46,0.64,1.48,,131.58, 
  보통주수정주가(기말)＜당기＞,"5,780","4,100","4,205","4,980","11,750","9,180", , 
  BPS＜당기＞,"6,331","7,521","9,075","7,802","7,949",, , 
펼치기 PCR,53.80,-8.24,1.48,-4.70,-11.48,,-144.37, 
  보통주수정주가(기말)＜당기＞,"5,780","4,100","4,205","4,980","11,750","9,180", , 
  CPS＜당기＞,107,-498,"2,849","-1,060","-1,024",, , 
펼치기 PSR,0.30,0.19,0.17,0.40,0.94,,131.15, 
  보통주수정주가(기말)＜당기＞,"5,780","4,100","4,205","4,980","11,750","9,180", , 
  SPS＜당기＞,"19,450","21,913","25,472","12,297","12,552",, , 
펼치기 EV/EBITDA,5.81,6.77,9.71,18.26,25.05,,37.21, 
  EV＜당기＞,774.5,811.8,737.6,699.2,"1,573.4",, , 
  EBITDA＜당기＞,133.4,119.9,76.0,38.3,62.8,, , 
펼치기 DPS,0,0,0,0,,, , 
  현금DPS,0,0,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
