항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)",2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,-10,-29,-11,-26,-10,,62, 
  당기순이익(지배)＜당기＞,-18.6,-62.3,-31.6,-91.4,-52.1,, , 
  보통주수정평균발행주식수＜당기＞,"181,355,876","215,227,879","286,212,543","350,787,273","522,968,063","527,923,748", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,269,186,187,152,132,,-13, 
  자본총계(지배)＜당기＞,487.3,446.2,653.8,720.4,696.8,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"181,355,660","239,949,410","349,598,532","474,598,532","527,923,532","527,923,532", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,5,-5,-37,8,-5,,-160, 
  영업활동현금흐름＜당기＞,9.3,-11.8,-106.9,26.8,-23.9,, , 
  보통주수정평균발행주식수＜당기＞,"181,355,876","215,227,879","286,212,543","350,787,273","522,968,063","527,923,748", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,86,39,101,118,77,,-35, 
  매출액＜당기＞,155.6,84.7,289.8,413.5,400.2,, , 
  보통주수정평균발행주식수＜당기＞,"181,355,876","215,227,879","286,212,543","350,787,273","522,968,063","527,923,748", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,N/A,N/A,N/A,N/A,N/A,,-323.81, 
  보통주수정주가(기말)＜당기＞,294,182,263,279,452,256, , 
  EPS＜당기＞,-10,-29,-11,-26,-10,, , 
펼치기 PBR,1.09,0.98,1.41,1.84,3.42,,86.31, 
  보통주수정주가(기말)＜당기＞,294,182,263,279,452,256, , 
  BPS＜당기＞,269,186,187,152,132,, , 
펼치기 PCR,57.52,-33.23,-7.04,36.55,-98.73,,-370.16, 
  보통주수정주가(기말)＜당기＞,294,182,263,279,452,256, , 
  CPS＜당기＞,5,-5,-37,8,-5,, , 
펼치기 PSR,3.43,4.62,2.60,2.37,5.91,,149.56, 
  보통주수정주가(기말)＜당기＞,294,182,263,279,452,256, , 
  SPS＜당기＞,86,39,101,118,77,, , 
펼치기 EV/EBITDA,29.86,-7.66,-43.89,123.27,-70.62,,-157.29, 
  EV＜당기＞,166.6,330.9,949.2,969.5,"2,372.4",, , 
  EBITDA＜당기＞,5.6,-43.2,-21.6,7.9,-33.6,, , 
펼치기 DPS,0,0,0,0,,, , 
  현금DPS,0,0,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
