항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)",2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,-983,"-1,568",43,"1,149","-1,915",,-267, 
  당기순이익(지배)＜당기＞,-193.3,-340.7,9.8,275.7,-477.3,, , 
  보통주수정평균발행주식수＜당기＞,"18,400,797","20,336,506","21,330,644","23,997,030","24,927,842","25,088,602", , 
  우선주수정평균발행주식수＜당기＞,"1,256,555","1,386,583","1,662,805",0,0,0, , 
펼치기 BPS,"5,676","14,152","13,440","21,686","20,686",,-5, 
  자본총계(지배)＜당기＞,"1,139.1","3,205.1","3,193.4","5,356.0","5,177.4",, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"20,066,704","20,427,184","23,761,297","24,697,774","25,029,132","25,111,982", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,"2,219,749",0,0,0,0, , 
펼치기 CPS,"-1,328",-923,"-1,808",-946,-511,,46, 
  영업활동현금흐름＜당기＞,-261.0,-200.5,-415.7,-226.9,-127.5,, , 
  보통주수정평균발행주식수＜당기＞,"18,400,797","20,336,506","21,330,644","23,997,030","24,927,842","25,088,602", , 
  우선주수정평균발행주식수＜당기＞,"1,256,555","1,386,583","1,662,805",0,0,0, , 
펼치기 SPS,"1,448",593,492,773,"1,477",,91, 
  매출액＜당기＞,284.5,128.8,113.0,185.4,368.3,, , 
  보통주수정평균발행주식수＜당기＞,"18,400,797","20,336,506","21,330,644","23,997,030","24,927,842","25,088,602", , 
  우선주수정평균발행주식수＜당기＞,"1,256,555","1,386,583","1,662,805",0,0,0, , 
펼치기 PER,N/A,N/A,"1,468.46",108.19,N/A,,-128.14, 
  보통주수정주가(기말)＜당기＞,"73,000","72,600","62,500","124,300","58,300","34,150", , 
  EPS＜당기＞,-983,"-1,568",43,"1,149","-1,915",, , 
펼치기 PBR,12.86,5.13,4.65,5.73,2.82,,-50.83, 
  보통주수정주가(기말)＜당기＞,"73,000","72,600","62,500","124,300","58,300","34,150", , 
  BPS＜당기＞,"5,676","14,152","13,440","21,686","20,686",, , 
펼치기 PCR,-54.97,-78.64,-34.57,-131.45,-114.03,,13.26, 
  보통주수정주가(기말)＜당기＞,"73,000","72,600","62,500","124,300","58,300","34,150", , 
  CPS＜당기＞,"-1,328",-923,"-1,808",-946,-511,, , 
펼치기 PSR,50.43,122.43,127.14,160.86,39.46,,-75.47, 
  보통주수정주가(기말)＜당기＞,"73,000","72,600","62,500","124,300","58,300","34,150", , 
  SPS＜당기＞,"1,448",593,492,773,"1,477",, , 
펼치기 EV/EBITDA,-59.98,-37.61,-34.30,-85.28,-92.30,,-8.23, 
  EV＜당기＞,"14,520.4","13,465.2","14,419.4","30,903.7","14,836.2",, , 
  EBITDA＜당기＞,-242.1,-358.0,-420.3,-362.4,-160.7,, , 
펼치기 DPS,0,0,0,0,0,, , 
  현금DPS,0,0,0,0,0,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,0.00,,0.00, 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
