항목,,,"2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,,,,-40,-1,,97, 
  당기순이익(지배)＜당기＞,,,,-0.0,-0.0,, , 
  보통주수정평균발행주식수＜당기＞,,,,"101,049","3,767,014","4,304,000", , 
  우선주수정평균발행주식수＜당기＞,,,,0,0,0, , 
펼치기 BPS,,,,"1,062","1,784",,68, 
  자본총계(지배)＜당기＞,,,,8.5,76.8,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,,,0,"804,000","4,304,000","4,304,000", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,,,0,0,0,0, , 
펼치기 CPS,,,,-32,-4,,89, 
  영업활동현금흐름＜당기＞,,,,-0.0,-0.1,, , 
  보통주수정평균발행주식수＜당기＞,,,,"101,049","3,767,014","4,304,000", , 
  우선주수정평균발행주식수＜당기＞,,,,0,0,0, , 
펼치기 SPS,,,,0,0,, , 
  매출액＜당기＞,,,,0.0,0.0,, , 
  보통주수정평균발행주식수＜당기＞,,,,"101,049","3,767,014","4,304,000", , 
  우선주수정평균발행주식수＜당기＞,,,,0,0,0, , 
펼치기 PER,,,,,N/A,, , 
  보통주수정주가(기말)＜당기＞,,,,,"2,160","2,200", , 
  EPS＜당기＞,,,,-40,-1,, , 
펼치기 PBR,,,,0.00,1.21,, , 
  보통주수정주가(기말)＜당기＞,,,,,"2,160","2,200", , 
  BPS＜당기＞,,,,"1,062","1,784",, , 
펼치기 PCR,,,,,-588.01,, , 
  보통주수정주가(기말)＜당기＞,,,,,"2,160","2,200", , 
  CPS＜당기＞,,,,-32,-4,, , 
펼치기 PSR,,,,,,, , 
  보통주수정주가(기말)＜당기＞,,,,,"2,160","2,200", , 
  SPS＜당기＞,,,,0,0,, , 
펼치기 EV/EBITDA,,,,,-572.45,, , 
  EV＜당기＞,,,,,86.3,, , 
  EBITDA＜당기＞,,,,-0.0,-0.2,, , 
펼치기 DPS,,,,,,, , 
  현금DPS,,,,,,, , 
  주식DPS,,,,,,, , 
  현금배당수익률,,,,,,, , 
  현금배당성향(%),,,,,,, , 
