항목,2017/12,2018/12,2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,293,-398,-301,-209,"9,217","2,529","4,514",-73
  당기순이익(지배)＜당기＞,97.4,-132.3,-100.0,-69.5,"3,066.9",848.3, , 
  보통주수정평균발행주식수＜당기＞,"33,257,434","33,257,434","33,257,434","33,257,434","33,272,710","33,546,619", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"8,947","7,900","7,213","7,812","18,883","20,160",142,7
  자본총계(지배)＜당기＞,"2,960.6","2,595.8","2,370.2","2,567.2","6,227.5","6,699.3", , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"33,092,428","32,856,950","32,858,225","32,863,576","32,979,702","33,230,892", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,-264,"-1,219","-1,297",-448,"2,837","2,955",734,4
  영업활동현금흐름＜당기＞,-87.8,-405.4,-431.3,-148.8,944.0,661.5, , 
  보통주수정평균발행주식수＜당기＞,"33,257,434","33,257,434","33,257,434","33,257,434","33,272,710","33,546,619", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"3,295","3,821","3,417","3,810","10,068","18,818",164,87
  매출액＜당기＞,"1,095.7","1,270.8","1,136.5","1,267.0","3,349.8","6,312.8", , 
  보통주수정평균발행주식수＜당기＞,"33,257,434","33,257,434","33,257,434","33,257,434","33,272,710","33,546,619", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,86.96,N/A,N/A,N/A,19.30,25.82,120.72,33.81
  보통주수정주가(기말)＜당기＞,"25,460","13,109","14,978","19,449","177,900","65,300", , 
  EPS＜당기＞,293,-398,-301,-209,"9,217","2,529", , 
펼치기 PBR,2.85,1.66,2.08,2.49,9.42,3.24,278.41,-65.62
  보통주수정주가(기말)＜당기＞,"25,460","13,109","14,978","19,449","177,900","65,300", , 
  BPS＜당기＞,"8,947","7,900","7,213","7,812","18,883","20,160", , 
펼치기 PCR,-96.42,-10.75,-11.55,-43.45,62.71,22.10,244.30,-64.76
  보통주수정주가(기말)＜당기＞,"25,460","13,109","14,978","19,449","177,900","65,300", , 
  CPS＜당기＞,-264,"-1,219","-1,297",-448,"2,837","2,955", , 
펼치기 PSR,7.73,3.43,4.38,5.10,17.67,3.47,246.14,-80.36
  보통주수정주가(기말)＜당기＞,"25,460","13,109","14,978","19,449","177,900","65,300", , 
  SPS＜당기＞,"3,295","3,821","3,417","3,810","10,068","18,818", , 
펼치기 EV/EBITDA,59.70,-12.10,-93.77,-63.66,56.26,14.91,188.37,-73.50
  EV＜당기＞,"7,336.5","3,795.4","4,627.3","5,844.4","56,765.3","19,174.5", , 
  EBITDA＜당기＞,122.9,-313.6,-49.3,-91.8,"1,009.0","1,286.3", , 
펼치기 DPS,303,303,303,303,650,,114, 
  현금DPS,303,303,303,303,650,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,1.19,2.31,2.02,1.56,0.37,1.00,-1.19,0.63
  현금배당성향(%),102.50,-74.38,-98.37,-141.74,6.99,25.73,148.73,18.74
