항목,2017/12,"2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,17,16,70,86,137,,60, 
  당기순이익(지배)＜당기＞,26.9,26.2,114.2,139.1,222.4,, , 
  보통주수정평균발행주식수＜당기＞,"162,066,575","162,066,575","162,066,575","162,066,575","162,066,575","162,066,575", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,529,517,587,676,819,,21, 
  자본총계(지배)＜당기＞,852.5,832.5,945.4,"1,090.0","1,320.2",, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"161,142,403","161,142,403","161,142,403","161,142,403","161,142,403","161,142,403", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,-4,-66,24,43,17,,-61, 
  영업활동현금흐름＜당기＞,-6.1,-106.7,39.4,69.0,26.7,, , 
  보통주수정평균발행주식수＜당기＞,"162,066,575","162,066,575","162,066,575","162,066,575","162,066,575","162,066,575", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,112,104,145,163,237,,45, 
  매출액＜당기＞,181.9,168.6,235.6,264.0,383.9,, , 
  보통주수정평균발행주식수＜당기＞,"162,066,575","162,066,575","162,066,575","162,066,575","162,066,575","162,066,575", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,64.83,42.22,10.19,14.97,12.10,,-19.21, 
  보통주수정주가(기말)＜당기＞,"1,075",683,718,"1,285","1,660","1,725", , 
  EPS＜당기＞,17,16,70,86,137,, , 
펼치기 PBR,2.03,1.32,1.22,1.90,2.03,,6.66, 
  보통주수정주가(기말)＜당기＞,"1,075",683,718,"1,285","1,660","1,725", , 
  BPS＜당기＞,529,517,587,676,819,, , 
펼치기 PCR,-285.83,-10.37,29.53,30.18,100.59,,233.26, 
  보통주수정주가(기말)＜당기＞,"1,075",683,718,"1,285","1,660","1,725", , 
  CPS＜당기＞,-4,-66,24,43,17,, , 
펼치기 PSR,9.58,6.57,4.94,7.89,7.01,,-11.17, 
  보통주수정주가(기말)＜당기＞,"1,075",683,718,"1,285","1,660","1,725", , 
  SPS＜당기＞,112,104,145,163,237,, , 
펼치기 EV/EBITDA,66.54,40.91,10.25,14.41,11.75,,-18.47, 
  EV＜당기＞,"1,754.4","1,223.1","1,246.9","2,103.5","2,693.0",, , 
  EBITDA＜당기＞,26.4,29.9,121.7,146.0,229.2,, , 
펼치기 DPS,0,0,0,0,,, , 
  현금DPS,0,0,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,,, , 
  현금배당성향(%),,0.00,0.00,0.00,,, , 
