항목,,,,"2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,,,,,-25,, , 
  당기순이익(지배)＜당기＞,,,,,-0.3,, , 
  보통주수정평균발행주식수＜당기＞,,,,,"1,130,274","8,247,270", , 
  우선주수정평균발행주식수＜당기＞,,,,,0,0, , 
펼치기 BPS,,,,,"1,854",, , 
  자본총계(지배)＜당기＞,,,,,141.1,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,,,,0,"7,610,000","10,346,514", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,,,,0,0,0, , 
펼치기 CPS,,,,,-214,, , 
  영업활동현금흐름＜당기＞,,,,,-2.4,, , 
  보통주수정평균발행주식수＜당기＞,,,,,"1,130,274","8,247,270", , 
  우선주수정평균발행주식수＜당기＞,,,,,0,0, , 
펼치기 SPS,,,,,0,, , 
  매출액＜당기＞,,,,,0.0,, , 
  보통주수정평균발행주식수＜당기＞,,,,,"1,130,274","8,247,270", , 
  우선주수정평균발행주식수＜당기＞,,,,,0,0, , 
펼치기 PER,,,,,N/A,, , 
  보통주수정주가(기말)＜당기＞,,,,,"2,095","2,680", , 
  EPS＜당기＞,,,,,-25,, , 
펼치기 PBR,,,,,1.13,, , 
  보통주수정주가(기말)＜당기＞,,,,,"2,095","2,680", , 
  BPS＜당기＞,,,,,"1,854",, , 
펼치기 PCR,,,,,-9.78,, , 
  보통주수정주가(기말)＜당기＞,,,,,"2,095","2,680", , 
  CPS＜당기＞,,,,,-214,, , 
펼치기 PSR,,,,,,, , 
  보통주수정주가(기말)＜당기＞,,,,,"2,095","2,680", , 
  SPS＜당기＞,,,,,0,, , 
펼치기 EV/EBITDA,,,,,-534.36,, , 
  EV＜당기＞,,,,,147.8,, , 
  EBITDA＜당기＞,,,,,-0.3,, , 
펼치기 DPS,,,,,0,, , 
  현금DPS,,,,,0,, , 
  주식DPS,,,,,0,, , 
  현금배당수익률,,,,,0.00,, , 
  현금배당성향(%),,,,,,, , 
