항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)",2020/12,"2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,-417,-189,-60,-100,-159,, , 
  당기순이익(지배)＜당기＞,-114.5,-55.6,-17.8,-35.2,-67.6,, , 
  보통주수정평균발행주식수＜당기＞,"27,451,698","29,439,113","29,439,113","35,159,677","42,467,397","43,615,959", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,841,652,601,749,970,, , 
  자본총계(지배)＜당기＞,247.5,192.0,176.9,278.6,422.9,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"29,439,113","29,439,113","29,439,113","37,199,870","43,615,959","43,615,959", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,-43,-29,-146,-48,-35,, , 
  영업활동현금흐름＜당기＞,-11.7,-8.5,-42.8,-16.7,-15.0,, , 
  보통주수정평균발행주식수＜당기＞,"27,451,698","29,439,113","29,439,113","35,159,677","42,467,397","43,615,959", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,762,676,591,893,"1,160",, , 
  매출액＜당기＞,209.1,198.9,174.1,314.1,492.5,, , 
  보통주수정평균발행주식수＜당기＞,"27,451,698","29,439,113","29,439,113","35,159,677","42,467,397","43,615,959", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,N/A,N/A,N/A,N/A,N/A,, , 
  보통주수정주가(기말)＜당기＞,"5,440","4,755","4,700","3,985","2,580","2,130", , 
  EPS＜당기＞,-417,-189,-60,-100,-159,, , 
펼치기 PBR,6.47,7.29,7.82,5.32,2.66,, , 
  보통주수정주가(기말)＜당기＞,"5,440","4,755","4,700","3,985","2,580","2,130", , 
  BPS＜당기＞,841,652,601,749,970,, , 
펼치기 PCR,-127.61,-164.21,-32.29,-83.70,-72.92,, , 
  보통주수정주가(기말)＜당기＞,"5,440","4,755","4,700","3,985","2,580","2,130", , 
  CPS＜당기＞,-43,-29,-146,-48,-35,, , 
펼치기 PSR,7.14,7.04,7.95,4.46,2.22,, , 
  보통주수정주가(기말)＜당기＞,"5,440","4,755","4,700","3,985","2,580","2,130", , 
  SPS＜당기＞,762,676,591,893,"1,160",, , 
펼치기 EV/EBITDA,292.48,-82.13,-60.87,-73.42,63.16,, , 
  EV＜당기＞,"1,452.5","1,258.8","1,284.3","1,373.4","1,065.5",, , 
  EBITDA＜당기＞,5.0,-15.3,-21.1,-18.7,16.9,, , 
펼치기 DPS,0,0,0,0,,, , 
  현금DPS,0,0,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
