항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,39,-86,-299,-117,-428,,-266, 
  당기순이익(지배)＜당기＞,6.9,-15.6,-57.8,-29.7,-303.9,, , 
  보통주수정평균발행주식수＜당기＞,"18,011,396","18,152,087","19,344,025","25,435,963","69,472,581","80,294,434", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,"1,571,099","5,309,733", , 
펼치기 BPS,427,"1,055",780,782,317,,-60, 
  자본총계(지배)＜당기＞,77.4,191.0,157.5,204.2,271.1,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"18,152,087","18,107,084","20,204,098","26,099,724","80,249,431","80,249,431", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,"5,309,733","5,309,733", , 
펼치기 CPS,-65,63,-169,49,-252,,-619, 
  영업활동현금흐름＜당기＞,-11.7,11.4,-32.6,12.4,-179.3,, , 
  보통주수정평균발행주식수＜당기＞,"18,011,396","18,152,087","19,344,025","25,435,963","69,472,581","80,294,434", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,"1,571,099","5,309,733", , 
펼치기 SPS,"1,076","1,145",920,724,122,,-83, 
  매출액＜당기＞,193.9,207.8,178.0,184.1,86.6,, , 
  보통주수정평균발행주식수＜당기＞,"18,011,396","18,152,087","19,344,025","25,435,963","69,472,581","80,294,434", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,"1,571,099","5,309,733", , 
펼치기 PER,,N/A,N/A,N/A,N/A,,21.75, 
  보통주수정주가(기말)＜당기＞,,"1,685","1,680",810,"2,320","1,505", , 
  EPS＜당기＞,39,-86,-299,-117,-428,, , 
펼치기 PBR,,1.60,2.15,1.04,7.32,,607.29, 
  보통주수정주가(기말)＜당기＞,,"1,685","1,680",810,"2,320","1,505", , 
  BPS＜당기＞,427,"1,055",780,782,317,, , 
펼치기 PCR,,26.77,-9.96,16.67,-9.19,,-155.15, 
  보통주수정주가(기말)＜당기＞,,"1,685","1,680",810,"2,320","1,505", , 
  CPS＜당기＞,-65,63,-169,49,-252,, , 
펼치기 PSR,,1.47,1.83,1.12,19.03,,"1,600.61", 
  보통주수정주가(기말)＜당기＞,,"1,685","1,680",810,"2,320","1,505", , 
  SPS＜당기＞,"1,076","1,145",920,724,122,, , 
펼치기 EV/EBITDA,,15.99,-15.86,15.81,-23.61,,-249.35, 
  EV＜당기＞,,250.0,353.6,159.4,"2,043.1",, , 
  EBITDA＜당기＞,21.6,15.6,-22.3,10.1,-86.6,, , 
펼치기 DPS,0,0,0,0,,, , 
  현금DPS,0,0,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
