항목,"2017/12
(GAAP개별)","2018/12
(GAAP개별)",2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,51,30,60,-261,-754,,-189, 
  당기순이익(지배)＜당기＞,6.0,5.9,11.8,-51.9,-166.9,, , 
  보통주수정평균발행주식수＜당기＞,"11,681,420","19,503,289","19,503,289","19,900,145","22,121,688","30,271,660", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"1,071","1,152","1,170","1,341","1,074",,-20, 
  자본총계(지배)＜당기＞,208.8,224.8,228.1,253.4,315.4,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"19,503,290","19,503,286","19,503,286","18,890,848","29,360,502","29,360,502", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,-16,-70,151,36,"-1,245",,"-3,553", 
  영업활동현금흐름＜당기＞,-1.8,-13.7,29.5,7.2,-275.4,, , 
  보통주수정평균발행주식수＜당기＞,"11,681,420","19,503,289","19,503,289","19,900,145","22,121,688","30,271,660", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"6,050","4,381","7,362","4,935","5,218",,6, 
  매출액＜당기＞,706.7,854.5,"1,435.9",982.1,"1,154.3",, , 
  보통주수정평균발행주식수＜당기＞,"11,681,420","19,503,289","19,503,289","19,900,145","22,121,688","30,271,660", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,,,,N/A,N/A,,72.63, 
  보통주수정주가(기말)＜당기＞,,,"1,870","2,066","1,635","1,250", , 
  EPS＜당기＞,51,30,60,-261,-754,, , 
펼치기 PBR,,,,1.54,1.52,,-1.18, 
  보통주수정주가(기말)＜당기＞,,,"1,870","2,066","1,635","1,250", , 
  BPS＜당기＞,"1,071","1,152","1,170","1,341","1,074",, , 
펼치기 PCR,,,,57.30,-1.31,,-102.29, 
  보통주수정주가(기말)＜당기＞,,,"1,870","2,066","1,635","1,250", , 
  CPS＜당기＞,-16,-70,151,36,"-1,245",, , 
펼치기 PSR,,,,0.42,0.31,,-25.16, 
  보통주수정주가(기말)＜당기＞,,,"1,870","2,066","1,635","1,250", , 
  SPS＜당기＞,"6,050","4,381","7,362","4,935","5,218",, , 
펼치기 EV/EBITDA,,,,-33.85,-6.04,,82.17, 
  EV＜당기＞,,,,643.1,779.6,, , 
  EBITDA＜당기＞,25.6,9.3,71.3,-19.0,-129.2,, , 
펼치기 DPS,0,0,0,0,,, , 
  현금DPS,0,0,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,,,0.00,0.00,,, , 
  현금배당성향(%),,,0.00,0.00,,, , 
