항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)",2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,-298,-708,-171,-343,20,,106, 
  당기순이익(지배)＜당기＞,-47.8,-116.3,-33.5,-90.5,6.3,, , 
  보통주수정평균발행주식수＜당기＞,"16,068,680","16,431,128","19,595,961","26,380,388","31,748,932","33,370,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 BPS,"1,306",711,544,497,521,,5, 
  자본총계(지배)＜당기＞,209.1,138.8,106.3,157.6,173.7,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"16,008,677","19,535,955","19,535,955","31,680,000","33,310,000","33,310,000", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,, , 
펼치기 CPS,-417,-479,-88,-604,29,,105, 
  영업활동현금흐름＜당기＞,-67.1,-78.7,-17.3,-159.3,9.2,, , 
  보통주수정평균발행주식수＜당기＞,"16,068,680","16,431,128","19,595,961","26,380,388","31,748,932","33,370,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 SPS,"2,663","1,750",124,305,556,,82, 
  매출액＜당기＞,428.0,287.6,24.3,80.6,176.6,, , 
  보통주수정평균발행주식수＜당기＞,"16,068,680","16,431,128","19,595,961","26,380,388","31,748,932","33,370,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 PER,N/A,N/A,N/A,N/A,34.33,,"1,820.18", 
  보통주수정주가(기말)＜당기＞,"1,960","1,356","1,700",685,685,805, , 
  EPS＜당기＞,-298,-708,-171,-343,20,, , 
펼치기 PBR,1.50,1.91,3.13,1.38,1.31,,-4.61, 
  보통주수정주가(기말)＜당기＞,"1,960","1,356","1,700",685,685,805, , 
  BPS＜당기＞,"1,306",711,544,497,521,, , 
펼치기 PCR,-4.70,-2.83,-19.22,-1.13,23.56,,"2,176.77", 
  보통주수정주가(기말)＜당기＞,"1,960","1,356","1,700",685,685,805, , 
  CPS＜당기＞,-417,-479,-88,-604,29,, , 
펼치기 PSR,0.74,0.77,13.73,2.24,1.23,,-45.09, 
  보통주수정주가(기말)＜당기＞,"1,960","1,356","1,700",685,685,805, , 
  SPS＜당기＞,"2,663","1,750",124,305,556,, , 
펼치기 EV/EBITDA,-45.73,-17.06,-444.05,-32.10,20.83,,164.88, 
  EV＜당기＞,286.4,323.0,483.5,400.8,344.9,, , 
  EBITDA＜당기＞,-6.3,-18.9,-1.1,-12.5,16.6,, , 
펼치기 DPS,0,0,0,0,0,, , 
  현금DPS,0,0,0,0,0,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,0.00,,0.00, 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
