항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,67,-416,"-2,193","-4,785","1,124",,124, 
  당기순이익(지배)＜당기＞,6.8,-42.1,-222.1,-489.8,126.5,, , 
  보통주수정평균발행주식수＜당기＞,"10,127,700","10,127,700","10,127,700","10,235,773","11,253,954","11,674,135", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"8,126","7,405","5,451","1,753","4,229",,141, 
  자본총계(지배)＜당기＞,760.2,692.7,552.0,186.8,483.5,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"9,354,820","9,354,820","10,127,700","10,654,129","11,433,573","11,514,876", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,"1,750",-193,"-1,629",-21,264,,"1,373", 
  영업활동현금흐름＜당기＞,177.2,-19.5,-165.0,-2.1,29.7,, , 
  보통주수정평균발행주식수＜당기＞,"10,127,700","10,127,700","10,127,700","10,235,773","11,253,954","11,674,135", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"8,596","5,085","6,007","9,863","4,299",,-56, 
  매출액＜당기＞,870.6,515.0,608.3,"1,009.6",483.8,, , 
  보통주수정평균발행주식수＜당기＞,"10,127,700","10,127,700","10,127,700","10,235,773","11,253,954","11,674,135", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,338.76,N/A,N/A,N/A,24.02,,526.41, 
  보통주수정주가(기말)＜당기＞,"22,700","18,550","29,350","26,950","27,000","24,250", , 
  EPS＜당기＞,67,-416,"-2,193","-4,785","1,124",, , 
펼치기 PBR,2.79,2.51,5.38,15.37,6.38,,-58.46, 
  보통주수정주가(기말)＜당기＞,"22,700","18,550","29,350","26,950","27,000","24,250", , 
  BPS＜당기＞,"8,126","7,405","5,451","1,753","4,229",, , 
펼치기 PCR,12.97,-96.30,-18.02,"-1,301.67",102.40,,107.87, 
  보통주수정주가(기말)＜당기＞,"22,700","18,550","29,350","26,950","27,000","24,250", , 
  CPS＜당기＞,"1,750",-193,"-1,629",-21,264,, , 
펼치기 PSR,2.64,3.65,4.89,2.73,6.28,,129.85, 
  보통주수정주가(기말)＜당기＞,"22,700","18,550","29,350","26,950","27,000","24,250", , 
  SPS＜당기＞,"8,596","5,085","6,007","9,863","4,299",, , 
펼치기 EV/EBITDA,17.30,-34.91,-13.66,-14.79,20.89,,241.26, 
  EV＜당기＞,"1,745.8","1,417.6","2,601.7","2,565.4","2,626.3",, , 
  EBITDA＜당기＞,100.9,-40.6,-190.5,-173.5,125.7,, , 
펼치기 DPS,200,250,100,0,,, , 
  현금DPS,200,250,100,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,0.88,1.35,0.34,0.00,,, , 
  현금배당성향(%),275.69,-55.55,-4.56,0.00,,, , 
