항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,-25,13,30,30,68,,128, 
  당기순이익(지배)＜당기＞,-15.6,8.4,19.3,19.2,43.7,, , 
  보통주수정평균발행주식수＜당기＞,"62,374,390","63,665,745","63,861,340","63,861,340","63,861,340",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 BPS,557,565,616,856,923,,8, 
  자본총계(지배)＜당기＞,331.4,340.5,371.2,546.8,589.5,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"59,486,326","60,262,326","60,262,326","63,861,340","63,861,340","63,861,340", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,, , 
펼치기 CPS,-17,78,71,133,105,,-21, 
  영업활동현금흐름＜당기＞,-10.4,49.7,45.3,84.9,66.8,, , 
  보통주수정평균발행주식수＜당기＞,"62,374,390","63,665,745","63,861,340","63,861,340","63,861,340",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 SPS,249,306,327,388,456,,18, 
  매출액＜당기＞,155.5,194.5,209.1,247.7,291.4,, , 
  보통주수정평균발행주식수＜당기＞,"62,374,390","63,665,745","63,861,340","63,861,340","63,861,340",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 PER,N/A,122.17,45.99,150.44,54.06,,-64.06, 
  보통주수정주가(기말)＜당기＞,"1,515","1,620","1,390","4,525","3,700","2,780", , 
  EPS＜당기＞,-25,13,30,30,68,, , 
펼치기 PBR,2.68,2.87,2.26,5.29,4.01,,-24.16, 
  보통주수정주가(기말)＜당기＞,"1,515","1,620","1,390","4,525","3,700","2,780", , 
  BPS＜당기＞,557,565,616,856,923,, , 
펼치기 PCR,-89.40,20.75,19.60,34.02,35.38,,4.02, 
  보통주수정주가(기말)＜당기＞,"1,515","1,620","1,390","4,525","3,700","2,780", , 
  CPS＜당기＞,-17,78,71,133,105,, , 
펼치기 PSR,6.00,5.30,4.24,11.67,8.11,,-30.50, 
  보통주수정주가(기말)＜당기＞,"1,515","1,620","1,390","4,525","3,700","2,780", , 
  SPS＜당기＞,249,306,327,388,456,, , 
펼치기 EV/EBITDA,131.42,39.47,18.63,54.31,32.11,,-40.88, 
  EV＜당기＞,860.2,920.0,759.0,"2,554.7","2,168.0",, , 
  EBITDA＜당기＞,6.5,23.3,40.7,47.0,67.5,, , 
펼치기 DPS,0,0,0,0,,, , 
  현금DPS,0,0,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
