항목,"2017/12
(IFRS별도)",2018/12,2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,798,460,"-1,114","-2,598","-2,183",,16, 
  당기순이익(지배)＜당기＞,60.6,37.2,-97.5,-298.5,-439.8,, , 
  보통주수정평균발행주식수＜당기＞,"7,590,127","8,078,211","8,753,714","11,487,531","20,151,169","52,860,310", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"3,996","4,239","3,616","2,496","1,320",,-47, 
  자본총계(지배)＜당기＞,317.2,370.2,366.6,388.0,408.7,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"7,936,640","8,734,514","10,138,046","15,545,256","30,958,191","63,429,305", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,"2,166","2,243","1,898","1,356",-817,,-160, 
  영업활동현금흐름＜당기＞,164.4,181.2,166.2,155.7,-164.6,, , 
  보통주수정평균발행주식수＜당기＞,"7,590,127","8,078,211","8,753,714","11,487,531","20,151,169","52,860,310", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"13,602","14,804","14,631","11,271","7,100",,-37, 
  매출액＜당기＞,"1,032.4","1,195.9","1,280.8","1,294.7","1,430.8",, , 
  보통주수정평균발행주식수＜당기＞,"7,590,127","8,078,211","8,753,714","11,487,531","20,151,169","52,860,310", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,5.55,9.50,N/A,N/A,N/A,,69.97, 
  보통주수정주가(기말)＜당기＞,"4,431","4,375","5,668","6,482","1,635","1,720", , 
  EPS＜당기＞,798,460,"-1,114","-2,598","-2,183",, , 
펼치기 PBR,1.11,1.03,1.57,2.60,1.24,,-52.32, 
  보통주수정주가(기말)＜당기＞,"4,431","4,375","5,668","6,482","1,635","1,720", , 
  BPS＜당기＞,"3,996","4,239","3,616","2,496","1,320",, , 
펼치기 PCR,2.05,1.95,2.99,4.78,-2.00,,-141.86, 
  보통주수정주가(기말)＜당기＞,"4,431","4,375","5,668","6,482","1,635","1,720", , 
  CPS＜당기＞,"2,166","2,243","1,898","1,356",-817,, , 
펼치기 PSR,0.33,0.30,0.39,0.58,0.23,,-59.96, 
  보통주수정주가(기말)＜당기＞,"4,431","4,375","5,668","6,482","1,635","1,720", , 
  SPS＜당기＞,"13,602","14,804","14,631","11,271","7,100",, , 
펼치기 EV/EBITDA,3.57,3.70,5.53,12.95,14.90,,15.07, 
  EV＜당기＞,780.9,791.8,"1,248.2","1,831.5",888.7,, , 
  EBITDA＜당기＞,218.7,214.0,225.6,141.4,59.6,, , 
펼치기 DPS,0,0,0,0,0,, , 
  현금DPS,0,0,0,0,0,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,0.00,,0.00, 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
