항목,,"2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,,,860,"-4,124","2,068","3,004",150,45
  당기순이익(지배)＜당기＞,,,46.5,-351.5,246.0,366.0, , 
  보통주수정평균발행주식수＜당기＞,,,"4,597,260","6,756,180","11,806,837","12,184,045", , 
  우선주수정평균발행주식수＜당기＞,,,"813,083","1,767,131","84,910",0, , 
펼치기 BPS,,,"3,876","13,343","16,497","18,340",24,11
  자본총계(지배)＜당기＞,,,316.4,"1,480.5","2,010.0","2,234.5", , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,,0,"6,285,715","10,782,436","12,184,045","12,184,045", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,,0,"1,878,325","313,054",0,0, , 
펼치기 CPS,,,"5,154","4,582","5,843","9,476",28,62
  영업활동현금흐름＜당기＞,,,278.9,390.5,694.9,"1,306.0", , 
  보통주수정평균발행주식수＜당기＞,,,"4,597,260","6,756,180","11,806,837","12,184,045", , 
  우선주수정평균발행주식수＜당기＞,,,"813,083","1,767,131","84,910",0, , 
펼치기 SPS,,,"10,114","7,960","9,604","14,581",21,52
  매출액＜당기＞,,,547.2,678.4,"1,142.1","1,776.5", , 
  보통주수정평균발행주식수＜당기＞,,,"4,597,260","6,756,180","11,806,837","12,184,045", , 
  우선주수정평균발행주식수＜당기＞,,,"813,083","1,767,131","84,910",0, , 
펼치기 PER,,,,N/A,24.27,13.92,297.02,-42.67
  보통주수정주가(기말)＜당기＞,,,,"50,800","50,200","41,800", , 
  EPS＜당기＞,,,860,"-4,124","2,068","3,004", , 
펼치기 PBR,,,0.00,3.81,3.04,2.28,-20.07,-25.10
  보통주수정주가(기말)＜당기＞,,,,"50,800","50,200","41,800", , 
  BPS＜당기＞,,,"3,876","13,343","16,497","18,340", , 
펼치기 PCR,,,,11.09,8.59,4.41,-22.52,-48.65
  보통주수정주가(기말)＜당기＞,,,,"50,800","50,200","41,800", , 
  CPS＜당기＞,,,"5,154","4,582","5,843","9,476", , 
펼치기 PSR,,,,6.38,5.23,2.87,-18.10,-45.15
  보통주수정주가(기말)＜당기＞,,,,"50,800","50,200","41,800", , 
  SPS＜당기＞,,,"10,114","7,960","9,604","14,581", , 
펼치기 EV/EBITDA,,,,13.76,8.63,5.06,-37.33,-41.34
  EV＜당기＞,,,,"5,795.9","6,719.8","6,253.4", , 
  EBITDA＜당기＞,,,336.4,421.2,779.1,"1,236.0", , 
펼치기 DPS,,,0,0,,, , 
  현금DPS,,,0,0,,, , 
  주식DPS,,,0,0,,, , 
  현금배당수익률,,,,0.00,,0.00, , 
  현금배당성향(%),,,1.01,0.00,,, , 
