항목,"2017/12
(IFRS별도)",2018/12,2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,182,349,744,618,743,968,20,30
  당기순이익(지배)＜당기＞,79.7,152.8,325.7,270.6,325.4,424.0, , 
  보통주수정평균발행주식수＜당기＞,"43,784,592","43,784,592","43,784,592","43,784,592","43,784,592",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 BPS,"2,293","2,663","3,419","3,977","5,222","6,144",31,18
  자본총계(지배)＜당기＞,"1,004.2","1,165.8","1,497.0","1,741.5","2,286.2","2,690.0", , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"43,784,592","43,784,592","43,784,592","43,784,592","43,784,592",, , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,, , 
펼치기 CPS,637,"1,566","2,195","1,815","2,509","3,666",38,46
  영업활동현금흐름＜당기＞,279.0,685.5,960.9,794.7,"1,098.8","1,595.0", , 
  보통주수정평균발행주식수＜당기＞,"43,784,592","43,784,592","43,784,592","43,784,592","43,784,592",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 SPS,"3,011","6,296","8,917","10,113","11,334","12,881",12,14
  매출액＜당기＞,"1,318.2","2,756.6","3,904.4","4,427.9","4,962.4","5,640.0", , 
  보통주수정평균발행주식수＜당기＞,"43,784,592","43,784,592","43,784,592","43,784,592","43,784,592",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 PER,15.35,11.70,10.48,23.87,17.97,11.57,-24.73,-35.62
  보통주수정주가(기말)＜당기＞,"2,795","4,085","7,800","14,750","13,350","11,200", , 
  EPS＜당기＞,182,349,744,618,743,968, , 
펼치기 PBR,1.22,1.53,2.28,3.71,2.56,1.82,-31.06,-28.70
  보통주수정주가(기말)＜당기＞,"2,795","4,085","7,800","14,750","13,350","11,200", , 
  BPS＜당기＞,"2,293","2,663","3,419","3,977","5,222","6,144", , 
펼치기 PCR,4.39,2.61,3.55,8.13,5.32,3.06,-34.54,-42.57
  보통주수정주가(기말)＜당기＞,"2,795","4,085","7,800","14,750","13,350","11,200", , 
  CPS＜당기＞,637,"1,566","2,195","1,815","2,509","3,666", , 
펼치기 PSR,0.93,0.65,0.87,1.46,1.18,0.87,-19.24,-26.18
  보통주수정주가(기말)＜당기＞,"2,795","4,085","7,800","14,750","13,350","11,200", , 
  SPS＜당기＞,"3,011","6,296","8,917","10,113","11,334","12,881", , 
펼치기 EV/EBITDA,5.43,4.86,4.86,8.28,6.16,,-25.58, 
  EV＜당기＞,"2,088.1","3,245.2","5,068.3","8,346.7","7,447.0",, , 
  EBITDA＜당기＞,384.2,668.3,"1,043.9","1,008.2","1,208.6","1,763.5", , 
펼치기 DPS,0,0,50,50,50,,0, 
  현금DPS,0,0,50,50,50,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,0.00,0.00,0.64,0.34,0.37,0.45,0.04,0.07
  현금배당성향(%),0.00,0.00,6.72,8.09,6.73,5.16,-1.36,-1.57
