항목,"2017/12
(GAAP개별)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,108,319,283,285,90,,-69, 
  당기순이익(지배)＜당기＞,12.7,39.3,34.2,40.7,12.8,, , 
  보통주수정평균발행주식수＜당기＞,"10,176,450","10,350,000","10,679,819","12,858,000","13,974,164","14,258,000", , 
  우선주수정평균발행주식수＜당기＞,"1,573,550","1,986,300","1,400,000","1,400,000","283,836",0, , 
펼치기 BPS,"1,739","1,495","2,347","2,640","2,924",,11, 
  자본총계(지배)＜당기＞,204.3,180.9,334.7,376.4,416.9,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"10,350,000","10,350,000","12,858,000","12,858,000","14,258,000","14,258,000", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,"1,400,000","1,750,000","1,400,000","1,400,000",0,0, , 
펼치기 CPS,554,882,760,597,-65,,-111, 
  영업활동현금흐름＜당기＞,65.1,108.8,91.8,85.2,-9.3,, , 
  보통주수정평균발행주식수＜당기＞,"10,176,450","10,350,000","10,679,819","12,858,000","13,974,164","14,258,000", , 
  우선주수정평균발행주식수＜당기＞,"1,573,550","1,986,300","1,400,000","1,400,000","283,836",0, , 
펼치기 SPS,"8,146","8,709","9,761","9,332","9,761",,5, 
  매출액＜당기＞,957.2,"1,074.4","1,179.1","1,330.6","1,391.7",, , 
  보통주수정평균발행주식수＜당기＞,"10,176,450","10,350,000","10,679,819","12,858,000","13,974,164","14,258,000", , 
  우선주수정평균발행주식수＜당기＞,"1,573,550","1,986,300","1,400,000","1,400,000","283,836",0, , 
펼치기 PER,,,14.10,20.87,51.39,,146.25, 
  보통주수정주가(기말)＜당기＞,,,"3,990","5,950","4,615","4,880", , 
  EPS＜당기＞,108,319,283,285,90,, , 
펼치기 PBR,0.00,0.00,1.70,2.25,1.58,,-29.98, 
  보통주수정주가(기말)＜당기＞,,,"3,990","5,950","4,615","4,880", , 
  BPS＜당기＞,"1,739","1,495","2,347","2,640","2,924",, , 
펼치기 PCR,,,5.25,9.96,-70.82,,-811.04, 
  보통주수정주가(기말)＜당기＞,,,"3,990","5,950","4,615","4,880", , 
  CPS＜당기＞,554,882,760,597,-65,, , 
펼치기 PSR,,,0.41,0.64,0.47,,-25.84, 
  보통주수정주가(기말)＜당기＞,,,"3,990","5,950","4,615","4,880", , 
  SPS＜당기＞,"8,146","8,709","9,761","9,332","9,761",, , 
펼치기 EV/EBITDA,,,8.81,10.57,13.83,,30.78, 
  EV＜당기＞,,,955.9,"1,334.4","1,305.4",, , 
  EBITDA＜당기＞,66.4,105.8,108.5,126.2,94.4,, , 
펼치기 DPS,0,0,0,0,,, , 
  현금DPS,0,0,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,,,0.00,0.00,,, , 
  현금배당성향(%),0.00,0.00,2.05,1.72,,, , 
