항목,"2017/12
(GAAP개별)","2018/12
(GAAP개별)","2019/12
(IFRS별도)","2020/12
(IFRS별도)",2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,-116,-307,-534,162,312,, , 
  당기순이익(지배)＜당기＞,-4.5,-12.1,-24.1,11.0,26.8,, , 
  보통주수정평균발행주식수＜당기＞,"3,151,440","3,151,440","3,889,536","6,772,519","8,192,703","8,251,244", , 
  우선주수정평균발행주식수＜당기＞,"737,214","811,461","626,937",0,"394,331","578,035", , 
펼치기 BPS,"2,650","2,343","1,950","3,989","4,684",, , 
  자본총계(지배)＜당기＞,105.0,92.9,124.7,310.0,413.6,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"3,151,440","3,151,440","6,397,284","7,770,644","8,251,244","8,251,244", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,"811,461","811,461",0,0,"578,035","578,035", , 
펼치기 CPS,-84,120,481,-32,89,, , 
  영업활동현금흐름＜당기＞,-3.3,4.8,21.7,-2.1,7.6,, , 
  보통주수정평균발행주식수＜당기＞,"3,151,440","3,151,440","3,889,536","6,772,519","8,192,703","8,251,244", , 
  우선주수정평균발행주식수＜당기＞,"737,214","811,461","626,937",0,"394,331","578,035", , 
펼치기 SPS,"3,368","3,708","4,392","2,972","3,213",, , 
  매출액＜당기＞,131.0,146.9,198.3,201.3,275.9,, , 
  보통주수정평균발행주식수＜당기＞,"3,151,440","3,151,440","3,889,536","6,772,519","8,192,703","8,251,244", , 
  우선주수정평균발행주식수＜당기＞,"737,214","811,461","626,937",0,"394,331","578,035", , 
펼치기 PER,,,,152.33,52.70,, , 
  보통주수정주가(기말)＜당기＞,,,,"24,750","16,450","14,500", , 
  EPS＜당기＞,-116,-307,-534,162,312,, , 
펼치기 PBR,0.00,0.00,0.00,6.20,3.51,, , 
  보통주수정주가(기말)＜당기＞,,,,"24,750","16,450","14,500", , 
  BPS＜당기＞,"2,650","2,343","1,950","3,989","4,684",, , 
펼치기 PCR,,,,-784.03,184.66,, , 
  보통주수정주가(기말)＜당기＞,,,,"24,750","16,450","14,500", , 
  CPS＜당기＞,-84,120,481,-32,89,, , 
펼치기 PSR,,,,8.33,5.12,, , 
  보통주수정주가(기말)＜당기＞,,,,"24,750","16,450","14,500", , 
  SPS＜당기＞,"3,368","3,708","4,392","2,972","3,213",, , 
펼치기 EV/EBITDA,,,,105.67,36.36,, , 
  EV＜당기＞,,,,"1,805.5","1,269.8",, , 
  EBITDA＜당기＞,10.3,1.2,28.7,17.1,34.9,, , 
펼치기 DPS,0,0,0,0,,, , 
  현금DPS,0,0,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,,,,0.00,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
