항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)",2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,"1,108","1,343",933,"1,590",799,, , 
  당기순이익(지배)＜당기＞,"1,006.2","1,219.4",847.0,"1,444.3",726.0,, , 
  보통주수정평균발행주식수＜당기＞,"90,808,100","90,808,100","90,808,100","90,808,100","90,808,100",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 BPS,"6,550","7,745","8,492","9,919","10,534",, , 
  자본총계(지배)＜당기＞,"5,948.0","7,032.6","7,711.4","9,007.5","9,565.5",, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"90,808,100","90,808,100","90,808,100","90,808,100","90,808,100",, , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,, , 
펼치기 CPS,"1,528","1,194","1,396",70,"-1,018",, , 
  영업활동현금흐름＜당기＞,"1,387.6","1,084.0","1,267.6",63.3,-924.3,, , 
  보통주수정평균발행주식수＜당기＞,"90,808,100","90,808,100","90,808,100","90,808,100","90,808,100",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 SPS,"6,200","6,694","7,077","6,944","4,597",, , 
  매출액＜당기＞,"5,630.1","6,078.9","6,426.3","6,306.2","4,174.0",, , 
  보통주수정평균발행주식수＜당기＞,"90,808,100","90,808,100","90,808,100","90,808,100","90,808,100",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 PER,4.49,2.98,4.38,3.18,6.68,, , 
  보통주수정주가(기말)＜당기＞,"4,980","4,000","4,085","5,060","5,340","4,870", , 
  EPS＜당기＞,"1,108","1,343",933,"1,590",799,, , 
펼치기 PBR,0.76,0.52,0.48,0.51,0.51,, , 
  보통주수정주가(기말)＜당기＞,"4,980","4,000","4,085","5,060","5,340","4,870", , 
  BPS＜당기＞,"6,550","7,745","8,492","9,919","10,534",, , 
펼치기 PCR,3.26,3.35,2.93,72.56,-5.25,, , 
  보통주수정주가(기말)＜당기＞,"4,980","4,000","4,085","5,060","5,340","4,870", , 
  CPS＜당기＞,"1,528","1,194","1,396",70,"-1,018",, , 
펼치기 PSR,0.80,0.60,0.58,0.73,1.16,, , 
  보통주수정주가(기말)＜당기＞,"4,980","4,000","4,085","5,060","5,340","4,870", , 
  SPS＜당기＞,"6,200","6,694","7,077","6,944","4,597",, , 
펼치기 EV/EBITDA,1.81,0.21,-0.47,1.25,4.66,, , 
  EV＜당기＞,"2,591.8",329.3,-515.9,"2,372.1","4,623.9",, , 
  EBITDA＜당기＞,"1,431.5","1,603.3","1,096.5","1,897.1",992.1,, , 
펼치기 DPS,160,185,170,185,150,, , 
  현금DPS,160,185,170,185,150,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,3.21,4.63,4.16,3.66,2.81,, , 
  현금배당성향(%),13.39,13.78,18.23,11.63,18.76,, , 
