항목,2017/12,2018/12,2019/12,2020/12,"2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,-191,-30,-474,-281,-38,, , 
  당기순이익(지배)＜당기＞,-45.4,-11.3,-177.7,-105.4,-14.3,, , 
  보통주수정평균발행주식수＜당기＞,"23,711,451","37,484,713","37,512,152","37,512,152","37,512,152","37,512,152", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"1,906","1,867","1,385","1,108","1,043",, , 
  자본총계(지배)＜당기＞,707.5,700.3,519.4,415.5,391.3,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"37,111,093","37,512,152","37,512,152","37,512,152","37,512,152",, , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,, , 
펼치기 CPS,-454,-55,-229,-64,-254,, , 
  영업활동현금흐름＜당기＞,-107.7,-20.5,-85.8,-23.9,-95.4,, , 
  보통주수정평균발행주식수＜당기＞,"23,711,451","37,484,713","37,512,152","37,512,152","37,512,152","37,512,152", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"2,739","2,181","1,877","1,538",737,, , 
  매출액＜당기＞,649.5,817.5,704.0,576.9,276.5,, , 
  보통주수정평균발행주식수＜당기＞,"23,711,451","37,484,713","37,512,152","37,512,152","37,512,152","37,512,152", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,N/A,N/A,N/A,N/A,N/A,, , 
  보통주수정주가(기말)＜당기＞,"5,810","3,515","3,000","2,940","5,550","6,110", , 
  EPS＜당기＞,-191,-30,-474,-281,-38,, , 
펼치기 PBR,3.05,1.88,2.17,2.65,5.32,, , 
  보통주수정주가(기말)＜당기＞,"5,810","3,515","3,000","2,940","5,550","6,110", , 
  BPS＜당기＞,"1,906","1,867","1,385","1,108","1,043",, , 
펼치기 PCR,-12.79,-64.16,-13.12,-46.18,-21.83,, , 
  보통주수정주가(기말)＜당기＞,"5,810","3,515","3,000","2,940","5,550","6,110", , 
  CPS＜당기＞,-454,-55,-229,-64,-254,, , 
펼치기 PSR,2.12,1.61,1.60,1.91,7.53,, , 
  보통주수정주가(기말)＜당기＞,"5,810","3,515","3,000","2,940","5,550","6,110", , 
  SPS＜당기＞,"2,739","2,181","1,877","1,538",737,, , 
펼치기 EV/EBITDA,628.31,438.86,-8.00,-15.71,-41.41,, , 
  EV＜당기＞,"1,134.1","1,142.1","1,004.8",971.4,"1,964.9",, , 
  EBITDA＜당기＞,1.8,2.6,-125.6,-61.8,-47.4,, , 
펼치기 DPS,,,,,,, , 
  현금DPS,,,,,,, , 
  주식DPS,,,,,,, , 
  현금배당수익률,,,,,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
