항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)",2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,-699,427,"-2,183",-490,"-1,099",, , 
  당기순이익(지배)＜당기＞,-57.8,37.5,-229.7,-64.9,-148.0,, , 
  보통주수정평균발행주식수＜당기＞,"8,098,414","8,164,304","10,149,861","13,249,382","13,465,200","13,512,671", , 
  우선주수정평균발행주식수＜당기＞,"181,051","616,979","371,483",0,0,0, , 
펼치기 BPS,-337,180,"3,505","3,109","2,046",, , 
  자본총계(지배)＜당기＞,-27.9,16.4,461.1,415.4,276.3,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"8,098,414","8,292,366","13,154,876","13,362,016","13,500,016","13,515,516", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,"183,334","826,751",0,0,0,0, , 
펼치기 CPS,-300,-269,-312,-352,-449,, , 
  영업활동현금흐름＜당기＞,-24.9,-23.7,-32.8,-46.7,-60.4,, , 
  보통주수정평균발행주식수＜당기＞,"8,098,414","8,164,304","10,149,861","13,249,382","13,465,200","13,512,671", , 
  우선주수정평균발행주식수＜당기＞,"181,051","616,979","371,483",0,0,0, , 
펼치기 SPS,5,33,44,46,24,, , 
  매출액＜당기＞,0.4,2.9,4.6,6.1,3.2,, , 
  보통주수정평균발행주식수＜당기＞,"8,098,414","8,164,304","10,149,861","13,249,382","13,465,200","13,512,671", , 
  우선주수정평균발행주식수＜당기＞,"181,051","616,979","371,483",0,0,0, , 
펼치기 PER,,,N/A,N/A,N/A,, , 
  보통주수정주가(기말)＜당기＞,,,"15,500","23,000","17,900","12,150", , 
  EPS＜당기＞,-699,427,"-2,183",-490,"-1,099",, , 
펼치기 PBR,0.00,0.00,4.42,7.40,8.75,, , 
  보통주수정주가(기말)＜당기＞,,,"15,500","23,000","17,900","12,150", , 
  BPS＜당기＞,-337,180,"3,505","3,109","2,046",, , 
펼치기 PCR,,,-49.71,-65.28,-39.90,, , 
  보통주수정주가(기말)＜당기＞,,,"15,500","23,000","17,900","12,150", , 
  CPS＜당기＞,-300,-269,-312,-352,-449,, , 
펼치기 PSR,,,353.47,499.83,761.16,, , 
  보통주수정주가(기말)＜당기＞,,,"15,500","23,000","17,900","12,150", , 
  SPS＜당기＞,5,33,44,46,24,, , 
펼치기 EV/EBITDA,,,-35.89,-44.25,-25.57,, , 
  EV＜당기＞,,,"1,590.6","2,672.6","1,977.8",, , 
  EBITDA＜당기＞,-35.5,-26.1,-44.3,-60.4,-77.3,, , 
펼치기 DPS,0,0,0,0,,, , 
  현금DPS,0,0,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,,,0.00,0.00,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
