항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,412,-319,-762,-330,119,455,136,282
  당기순이익(지배)＜당기＞,82.5,-63.7,-152.5,-66.0,23.8,91.0, , 
  보통주수정평균발행주식수＜당기＞,"20,000,000","20,000,000","20,000,000","20,000,000","20,000,000",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 BPS,"7,345","6,876","6,112","5,782","5,901","6,355",2,8
  자본총계(지배)＜당기＞,"1,468.9","1,375.2","1,222.5","1,156.3","1,180.3","1,271.0", , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"20,000,000","20,000,000","20,000,000","20,000,000","20,000,000",, , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,, , 
펼치기 CPS,"1,138",311,-592,265,40,570,-85,"1,321"
  영업활동현금흐름＜당기＞,227.6,62.1,-118.5,53.0,8.0,108.0, , 
  보통주수정평균발행주식수＜당기＞,"20,000,000","20,000,000","20,000,000","20,000,000","20,000,000",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 SPS,"4,429","3,397","2,658","2,348","3,477","3,970",48,14
  매출액＜당기＞,885.8,679.3,531.7,469.5,695.3,794.0, , 
  보통주수정평균발행주식수＜당기＞,"20,000,000","20,000,000","20,000,000","20,000,000","20,000,000",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 PER,12.07,N/A,N/A,N/A,35.48,9.69,466.08,-72.68
  보통주수정주가(기말)＜당기＞,"4,975","5,030","3,120","3,200","4,230","4,410", , 
  EPS＜당기＞,412,-319,-762,-330,119,455, , 
펼치기 PBR,0.68,0.73,0.51,0.55,0.72,0.69,29.50,-3.19
  보통주수정주가(기말)＜당기＞,"4,975","5,030","3,120","3,200","4,230","4,410", , 
  BPS＜당기＞,"7,345","6,876","6,112","5,782","5,901","6,355", , 
펼치기 PCR,4.37,16.19,-5.27,12.07,105.47,7.74,773.82,-92.66
  보통주수정주가(기말)＜당기＞,"4,975","5,030","3,120","3,200","4,230","4,410", , 
  CPS＜당기＞,"1,138",311,-592,265,40,570, , 
펼치기 PSR,1.12,1.48,1.17,1.36,1.22,1.11,-10.74,-8.70
  보통주수정주가(기말)＜당기＞,"4,975","5,030","3,120","3,200","4,230","4,410", , 
  SPS＜당기＞,"4,429","3,397","2,658","2,348","3,477","3,970", , 
펼치기 EV/EBITDA,2.94,104.24,-9.70,-13.59,3.50,2.47,125.75,-29.42
  EV＜당기＞,515.0,534.5,255.5,173.8,374.2,321.0, , 
  EBITDA＜당기＞,175.2,5.1,-26.3,-12.8,107.0,130.0, , 
펼치기 DPS,150,,,,,, , 
  현금DPS,150,,,,,, , 
  주식DPS,,,,,,, , 
  현금배당수익률,3.02,,,,,0.00, , 
  현금배당성향(%),36.39,0.00,0.00,0.00,,, , 
