항목,2017/12,2018/12,2019/12,"2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,"-28,412","-19,214","-24,442",-695,-68,,90, 
  당기순이익(지배)＜당기＞,-215.2,-234.7,-313.2,-71.3,-24.0,, , 
  보통주수정평균발행주식수＜당기＞,"757,482","1,221,401","1,281,351","10,258,277","35,351,956","35,351,956", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"32,786","21,891","-2,591",639,590,,-8, 
  자본총계(지배)＜당기＞,327.7,280.5,-33.2,225.9,208.6,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"999,590","1,281,316","1,281,316","35,351,902","35,351,902","35,351,848", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,, , 
펼치기 CPS,"-31,310",-739,"-1,949","-1,192",-116,,90, 
  영업활동현금흐름＜당기＞,-237.2,-9.0,-25.0,-122.3,-40.9,, , 
  보통주수정평균발행주식수＜당기＞,"757,482","1,221,401","1,281,351","10,258,277","35,351,956","35,351,956", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"20,190","9,205","5,635",87,"1,093",,"1,150", 
  매출액＜당기＞,152.9,112.4,72.2,9.0,386.3,, , 
  보통주수정평균발행주식수＜당기＞,"757,482","1,221,401","1,281,351","10,258,277","35,351,956","35,351,956", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,N/A,N/A,N/A,N/A,N/A,,-922.00, 
  보통주수정주가(기말)＜당기＞,"2,654","2,553","1,550","1,550","1,550","3,100", , 
  EPS＜당기＞,"-28,412","-19,214","-24,442",-695,-68,, , 
펼치기 PBR,0.08,0.12,N/A,2.43,2.63,,8.28, 
  보통주수정주가(기말)＜당기＞,"2,654","2,553","1,550","1,550","1,550","3,100", , 
  BPS＜당기＞,"32,786","21,891","-2,591",639,590,, , 
펼치기 PCR,-0.08,-3.45,-0.80,-1.30,-13.40,,-930.27, 
  보통주수정주가(기말)＜당기＞,"2,654","2,553","1,550","1,550","1,550","3,100", , 
  CPS＜당기＞,"-31,310",-739,"-1,949","-1,192",-116,, , 
펼치기 PSR,0.13,0.28,0.28,17.73,1.42,,-92.00, 
  보통주수정주가(기말)＜당기＞,"2,654","2,553","1,550","1,550","1,550","3,100", , 
  SPS＜당기＞,"20,190","9,205","5,635",87,"1,093",, , 
펼치기 EV/EBITDA,128.61,-20.07,-32.65,-14.91,242.63,,"1,727.86", 
  EV＜당기＞,904.0,"1,089.1",935.4,665.6,913.1,, , 
  EBITDA＜당기＞,7.0,-54.3,-28.6,-44.7,3.8,, , 
펼치기 DPS,0,0,0,0,0,, , 
  현금DPS,0,0,0,0,0,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,0.00,,0.00, 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
