항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,-132,-48,-46,-163,-212,,-30, 
  당기순이익(지배)＜당기＞,-15.7,-6.0,-6.6,-23.5,-30.8,, , 
  보통주수정평균발행주식수＜당기＞,"11,839,081","12,617,545","14,334,225","14,407,204","14,555,431","14,646,139", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 BPS,"1,080","2,493","2,477","2,334","2,122",,-9, 
  자본총계(지배)＜당기＞,127.9,354.4,356.1,337.8,309.6,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"11,839,081","14,217,258","14,377,758","14,474,458","14,589,458","14,669,958", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,, , 
펼치기 CPS,22,95,31,-112,-135,,-21, 
  영업활동현금흐름＜당기＞,2.6,12.0,4.5,-16.2,-19.7,, , 
  보통주수정평균발행주식수＜당기＞,"11,839,081","12,617,545","14,334,225","14,407,204","14,555,431","14,646,139", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 SPS,"1,170","1,106",952,906,980,,8, 
  매출액＜당기＞,138.6,139.6,136.5,130.5,142.6,, , 
  보통주수정평균발행주식수＜당기＞,"11,839,081","12,617,545","14,334,225","14,407,204","14,555,431","14,646,139", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 PER,,N/A,N/A,N/A,N/A,,52.23, 
  보통주수정주가(기말)＜당기＞,,"9,190","9,040","15,200","9,410","9,380", , 
  EPS＜당기＞,-132,-48,-46,-163,-212,, , 
펼치기 PBR,0.00,3.69,3.65,6.51,4.44,,-31.91, 
  보통주수정주가(기말)＜당기＞,,"9,190","9,040","15,200","9,410","9,380", , 
  BPS＜당기＞,"1,080","2,493","2,477","2,334","2,122",, , 
펼치기 PCR,,96.36,289.59,-135.47,-69.55,,48.66, 
  보통주수정주가(기말)＜당기＞,,"9,190","9,040","15,200","9,410","9,380", , 
  CPS＜당기＞,22,95,31,-112,-135,, , 
펼치기 PSR,,8.31,9.49,16.79,9.61,,-42.77, 
  보통주수정주가(기말)＜당기＞,,"9,190","9,040","15,200","9,410","9,380", , 
  SPS＜당기＞,"1,170","1,106",952,906,980,, , 
펼치기 EV/EBITDA,,"16,651.70",-324.04,-82.00,-35.60,,56.58, 
  EV＜당기＞,,"1,087.8","1,083.4","2,024.7","1,220.8",, , 
  EBITDA＜당기＞,-9.3,0.1,-3.3,-24.7,-34.3,, , 
펼치기 DPS,0,0,0,0,0,, , 
  현금DPS,0,0,0,0,0,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,,0.00,0.00,0.00,0.00,,0.00, 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
