항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)",2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,-18,456,-929,-643,-391,,39, 
  당기순이익(지배)＜당기＞,-3.2,91.3,-185.8,-128.6,-83.2,, , 
  보통주수정평균발행주식수＜당기＞,"18,236,594","20,000,000","20,000,000","20,000,000","21,253,868","22,178,848", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"2,313","2,698","1,719","1,128",884,,-22, 
  자본총계(지배)＜당기＞,459.4,536.0,341.4,224.1,194.8,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"19,866,401","19,866,401","19,866,401","19,866,401","22,043,688","22,043,688", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,, , 
펼치기 CPS,-448,-242,-91,-523,210,,140, 
  영업활동현금흐름＜당기＞,-81.6,-48.4,-18.2,-104.7,44.5,, , 
  보통주수정평균발행주식수＜당기＞,"18,236,594","20,000,000","20,000,000","20,000,000","21,253,868","22,178,848", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"2,797","4,470","2,706","2,021","2,066",,2, 
  매출액＜당기＞,510.2,894.1,541.2,404.2,439.1,, , 
  보통주수정평균발행주식수＜당기＞,"18,236,594","20,000,000","20,000,000","20,000,000","21,253,868","22,178,848", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,N/A,34.52,N/A,N/A,N/A,,-12.46, 
  보통주수정주가(기말)＜당기＞,"9,940","15,750","7,360","2,140","1,465","1,440", , 
  EPS＜당기＞,-18,456,-929,-643,-391,, , 
펼치기 PBR,2.15,2.92,2.14,1.90,1.66,,-12.64, 
  보통주수정주가(기말)＜당기＞,"9,940","15,750","7,360","2,140","1,465","1,440", , 
  BPS＜당기＞,"2,313","2,698","1,719","1,128",884,, , 
펼치기 PCR,-22.21,-65.11,-40.40,-4.09,6.99,,271.02, 
  보통주수정주가(기말)＜당기＞,"9,940","15,750","7,360","2,140","1,465","1,440", , 
  CPS＜당기＞,-448,-242,-91,-523,210,, , 
펼치기 PSR,3.55,3.52,1.36,1.06,0.71,,-33.04, 
  보통주수정주가(기말)＜당기＞,"9,940","15,750","7,360","2,140","1,465","1,440", , 
  SPS＜당기＞,"2,797","4,470","2,706","2,021","2,066",, , 
펼치기 EV/EBITDA,177.55,15.79,-4.05,-18.99,-9.39,,50.55, 
  EV＜당기＞,836.9,"1,503.7",736.9,590.3,466.2,, , 
  EBITDA＜당기＞,4.7,95.2,-181.9,-31.1,-49.7,, , 
펼치기 DPS,0,0,0,0,,, , 
  현금DPS,0,0,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
