항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,755,628,593,-173,663,,483, 
  당기순이익(지배)＜당기＞,37.6,34.1,38.3,-11.6,50.5,, , 
  보통주수정평균발행주식수＜당기＞,"4,977,399","5,421,598","6,453,276","6,715,020","7,611,697","7,824,500", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"1,387","4,604","5,497","6,326","7,860",,24, 
  자본총계(지배)＜당기＞,72.2,297.1,351.6,436.2,586.3,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"5,206,380","6,453,275","6,395,242","6,895,651","7,459,744","7,438,312", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,758,619,263,471,225,,-52, 
  영업활동현금흐름＜당기＞,37.7,33.6,17.0,31.6,17.2,, , 
  보통주수정평균발행주식수＜당기＞,"4,977,399","5,421,598","6,453,276","6,715,020","7,611,697","7,824,500", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"2,645","3,803","3,699","2,352","5,639",,140, 
  매출액＜당기＞,131.6,206.2,238.7,158.0,429.2,, , 
  보통주수정평균발행주식수＜당기＞,"4,977,399","5,421,598","6,453,276","6,715,020","7,611,697","7,824,500", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,,56.63,37.88,N/A,62.33,,130.03, 
  보통주수정주가(기말)＜당기＞,,"35,571","22,450","35,950","41,350","46,200", , 
  EPS＜당기＞,755,628,593,-173,663,, , 
펼치기 PBR,0.00,7.73,4.08,5.68,5.26,,-7.43, 
  보통주수정주가(기말)＜당기＞,,"35,571","22,450","35,950","41,350","46,200", , 
  BPS＜당기＞,"1,387","4,604","5,497","6,326","7,860",, , 
펼치기 PCR,,57.45,85.30,76.32,183.50,,140.44, 
  보통주수정주가(기말)＜당기＞,,"35,571","22,450","35,950","41,350","46,200", , 
  CPS＜당기＞,758,619,263,471,225,, , 
펼치기 PSR,,9.35,6.07,15.28,7.33,,-52.01, 
  보통주수정주가(기말)＜당기＞,,"35,571","22,450","35,950","41,350","46,200", , 
  SPS＜당기＞,"2,645","3,803","3,699","2,352","5,639",, , 
펼치기 EV/EBITDA,,47.11,24.70,-325.40,43.40,,113.34, 
  EV＜당기＞,,"2,040.6","1,201.6","2,352.1","3,001.2",, , 
  EBITDA＜당기＞,47.0,43.3,48.7,-7.2,69.1,, , 
펼치기 DPS,0,0,0,0,,, , 
  현금DPS,0,0,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,,0.00,0.00,0.00,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
