항목,"2017/12
(IFRS별도)",2018/12,2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,-232,"-1,028","-3,755","-2,808","-1,352",,52, 
  당기순이익(지배)＜당기＞,-65.0,-287.3,"-1,070.4",-828.6,-509.4,, , 
  보통주수정평균발행주식수＜당기＞,"27,953,185","27,953,185","28,502,340","29,507,591","37,689,326","37,689,326", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"5,883","4,789","6,646","7,337","5,984",,-18, 
  자본총계(지배)＜당기＞,"1,644.5","1,338.7","1,955.7","2,763.0","2,253.5",, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"27,953,182","27,953,182","29,427,381","37,659,738","37,659,738","37,659,738", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,-93,-481,"-1,441","-1,627","-1,013",,38, 
  영업활동현금흐름＜당기＞,-25.9,-134.6,-410.7,-480.1,-381.6,, , 
  보통주수정평균발행주식수＜당기＞,"27,953,185","27,953,185","28,502,340","29,507,591","37,689,326","37,689,326", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,113,112,156,144,61,,-57, 
  매출액＜당기＞,31.6,31.3,44.5,42.5,23.2,, , 
  보통주수정평균발행주식수＜당기＞,"27,953,185","27,953,185","28,502,340","29,507,591","37,689,326","37,689,326", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,N/A,N/A,N/A,N/A,N/A,,-57.15, 
  보통주수정주가(기말)＜당기＞,"87,717","136,437","63,390","30,012","22,700","21,300", , 
  EPS＜당기＞,-232,"-1,028","-3,755","-2,808","-1,352",, , 
펼치기 PBR,14.91,28.49,9.54,4.09,3.79,,-7.26, 
  보통주수정주가(기말)＜당기＞,"87,717","136,437","63,390","30,012","22,700","21,300", , 
  BPS＜당기＞,"5,883","4,789","6,646","7,337","5,984",, , 
펼치기 PCR,-946.51,-283.43,-44.00,-18.45,-22.42,,-21.54, 
  보통주수정주가(기말)＜당기＞,"87,717","136,437","63,390","30,012","22,700","21,300", , 
  CPS＜당기＞,-93,-481,"-1,441","-1,627","-1,013",, , 
펼치기 PSR,776.46,"1,219.61",405.60,208.45,369.37,,77.20, 
  보통주수정주가(기말)＜당기＞,"87,717","136,437","63,390","30,012","22,700","21,300", , 
  SPS＜당기＞,113,112,156,144,61,, , 
펼치기 EV/EBITDA,-387.53,-210.47,-51.83,-22.10,-21.01,,4.94, 
  EV＜당기＞,"25,108.8","40,181.7","19,139.3","9,499.5","8,240.3",, , 
  EBITDA＜당기＞,-64.8,-190.9,-369.3,-429.9,-392.3,, , 
펼치기 DPS,0,0,0,0,,, , 
  현금DPS,0,0,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
