항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)",2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,171,85,-16,-241,-277,, , 
  당기순이익(지배)＜당기＞,12.7,6.6,-1.3,-22.8,-26.7,, , 
  보통주수정평균발행주식수＜당기＞,"6,000,000","6,000,000","7,792,903","9,459,981","9,630,851","9,658,500", , 
  우선주수정평균발행주식수＜당기＞,"1,414,200","1,787,500","509,315",0,0,0, , 
펼치기 BPS,502,579,"1,873","1,790","2,002",, , 
  자본총계(지배)＜당기＞,39.1,45.1,176.8,171.7,193.3,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"6,000,000","6,000,000","9,435,500","9,595,500","9,658,500","9,632,790", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,"1,787,500","1,787,500",0,0,0,0, , 
펼치기 CPS,57,377,7,-86,-402,, , 
  영업활동현금흐름＜당기＞,4.2,29.4,0.6,-8.1,-38.7,, , 
  보통주수정평균발행주식수＜당기＞,"6,000,000","6,000,000","7,792,903","9,459,981","9,630,851","9,658,500", , 
  우선주수정평균발행주식수＜당기＞,"1,414,200","1,787,500","509,315",0,0,0, , 
펼치기 SPS,"1,278","1,260","1,089",965,957,, , 
  매출액＜당기＞,94.7,98.1,90.4,91.3,92.1,, , 
  보통주수정평균발행주식수＜당기＞,"6,000,000","6,000,000","7,792,903","9,459,981","9,630,851","9,658,500", , 
  우선주수정평균발행주식수＜당기＞,"1,414,200","1,787,500","509,315",0,0,0, , 
펼치기 PER,,,N/A,N/A,N/A,, , 
  보통주수정주가(기말)＜당기＞,,,"7,000","10,300","11,350","7,230", , 
  EPS＜당기＞,171,85,-16,-241,-277,, , 
펼치기 PBR,0.00,0.00,3.74,5.76,5.67,, , 
  보통주수정주가(기말)＜당기＞,,,"7,000","10,300","11,350","7,230", , 
  BPS＜당기＞,502,579,"1,873","1,790","2,002",, , 
펼치기 PCR,,,"1,038.70",-120.38,-28.26,, , 
  보통주수정주가(기말)＜당기＞,,,"7,000","10,300","11,350","7,230", , 
  CPS＜당기＞,57,377,7,-86,-402,, , 
펼치기 PSR,,,6.43,10.68,11.86,, , 
  보통주수정주가(기말)＜당기＞,,,"7,000","10,300","11,350","7,230", , 
  SPS＜당기＞,"1,278","1,260","1,089",965,957,, , 
펼치기 EV/EBITDA,,,191.88,-76.43,-67.64,, , 
  EV＜당기＞,,,513.2,"1,073.8","1,252.7",, , 
  EBITDA＜당기＞,13.5,10.9,2.7,-14.0,-18.5,, , 
펼치기 DPS,0,0,0,0,,, , 
  현금DPS,0,0,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,,,0.00,0.00,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
