항목,,,"2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,,,,-86,3,,104, 
  당기순이익(지배)＜당기＞,,,,-0.3,0.2,, , 
  보통주수정평균발행주식수＜당기＞,,,,"393,238","5,115,000","5,115,000", , 
  우선주수정평균발행주식수＜당기＞,,,,0,0,0, , 
펼치기 BPS,,,,"1,966","1,969",,0, 
  자본총계(지배)＜당기＞,,,,100.5,100.7,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,,,0,"5,115,000","5,115,000","5,115,000", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,,,0,0,0,0, , 
펼치기 CPS,,,,-40,8,,121, 
  영업활동현금흐름＜당기＞,,,,-0.2,0.4,, , 
  보통주수정평균발행주식수＜당기＞,,,,"393,238","5,115,000","5,115,000", , 
  우선주수정평균발행주식수＜당기＞,,,,0,0,0, , 
펼치기 SPS,,,,0,0,, , 
  매출액＜당기＞,,,,0.0,0.0,, , 
  보통주수정평균발행주식수＜당기＞,,,,"393,238","5,115,000","5,115,000", , 
  우선주수정평균발행주식수＜당기＞,,,,0,0,0, , 
펼치기 PER,,,,N/A,595.63,,"2,640.89", 
  보통주수정주가(기말)＜당기＞,,,,"2,015","2,075","2,165", , 
  EPS＜당기＞,,,,-86,3,, , 
펼치기 PBR,,,,1.03,1.05,,2.80, 
  보통주수정주가(기말)＜당기＞,,,,"2,015","2,075","2,165", , 
  BPS＜당기＞,,,,"1,966","1,969",, , 
펼치기 PCR,,,,-50.72,245.25,,583.52, 
  보통주수정주가(기말)＜당기＞,,,,"2,015","2,075","2,165", , 
  CPS＜당기＞,,,,-40,8,, , 
펼치기 PSR,,,,,,, , 
  보통주수정주가(기말)＜당기＞,,,,"2,015","2,075","2,165", , 
  SPS＜당기＞,,,,0,0,, , 
펼치기 EV/EBITDA,,,,-589.44,-363.80,,38.28, 
  EV＜당기＞,,,,102.2,106.0,, , 
  EBITDA＜당기＞,,,,-0.2,-0.3,, , 
펼치기 DPS,,,,,,, , 
  현금DPS,,,,,,, , 
  주식DPS,,,,,,, , 
  현금배당수익률,,,,,,, , 
  현금배당성향(%),,,,0.00,,, , 
