항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,"-1,434",171,"1,062",-705,"1,093",,255, 
  당기순이익(지배)＜당기＞,-205.8,24.5,152.4,-101.2,156.9,, , 
  보통주수정평균발행주식수＜당기＞,"14,354,920","14,354,920","14,354,920","14,354,920","14,354,920",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 BPS,"3,685","3,069","4,351","4,221","5,876",,39, 
  자본총계(지배)＜당기＞,517.2,430.8,610.7,592.4,824.7,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"14,035,289","14,035,289","14,035,289","14,035,289","14,035,289",, , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,, , 
펼치기 CPS,-218,"1,426","1,595",944,"1,155",,22, 
  영업활동현금흐름＜당기＞,-31.3,204.7,228.9,135.5,165.8,, , 
  보통주수정평균발행주식수＜당기＞,"14,354,920","14,354,920","14,354,920","14,354,920","14,354,920",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 SPS,"9,113","8,327","9,342","10,400","11,605",,12, 
  매출액＜당기＞,"1,308.2","1,195.3","1,341.0","1,492.9","1,665.9",, , 
  보통주수정평균발행주식수＜당기＞,"14,354,920","14,354,920","14,354,920","14,354,920","14,354,920",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 PER,N/A,59.07,9.80,N/A,9.97,,155.78, 
  보통주수정주가(기말)＜당기＞,"13,600","10,100","10,400","12,600","10,900","11,700", , 
  EPS＜당기＞,"-1,434",171,"1,062",-705,"1,093",, , 
펼치기 PBR,3.69,3.29,2.39,2.99,1.86,,-37.86, 
  보통주수정주가(기말)＜당기＞,"13,600","10,100","10,400","12,600","10,900","11,700", , 
  BPS＜당기＞,"3,685","3,069","4,351","4,221","5,876",, , 
펼치기 PCR,-62.45,7.08,6.52,13.35,9.44,,-29.33, 
  보통주수정주가(기말)＜당기＞,"13,600","10,100","10,400","12,600","10,900","11,700", , 
  CPS＜당기＞,-218,"1,426","1,595",944,"1,155",, , 
펼치기 PSR,1.49,1.21,1.11,1.21,0.94,,-22.47, 
  보통주수정주가(기말)＜당기＞,"13,600","10,100","10,400","12,600","10,900","11,700", , 
  SPS＜당기＞,"9,113","8,327","9,342","10,400","11,605",, , 
펼치기 EV/EBITDA,14.37,7.60,6.92,7.20,5.70,,-20.85, 
  EV＜당기＞,"2,343.2","1,759.4","1,681.8","1,988.9","1,710.7",, , 
  EBITDA＜당기＞,163.0,231.4,242.9,276.4,300.4,, , 
펼치기 DPS,0,0,0,0,80,, , 
  현금DPS,0,0,0,0,80,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,0.73,,0.73, 
  현금배당성향(%),0.00,0.00,0.00,0.00,7.15,,7.15, 
