항목,"2017/12
(IFRS별도)",2018/12,"2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,-101,-389,"-1,097",-33,-252,,-657, 
  당기순이익(지배)＜당기＞,-9.7,-48.8,-316.0,-15.0,-194.7,, , 
  보통주수정평균발행주식수＜당기＞,"9,530,034","12,531,238","28,800,429","45,007,672","77,291,562","91,218,244", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,540,"1,184",623,903,758,,-16, 
  자본총계(지배)＜당기＞,53.6,202.6,210.7,597.4,629.8,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"9,929,179","17,110,280","33,832,895","66,171,181","83,050,023","91,798,925", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,-92,-289,-123,74,-14,,-120, 
  영업활동현금흐름＜당기＞,-8.8,-36.3,-35.4,33.1,-11.2,, , 
  보통주수정평균발행주식수＜당기＞,"9,530,034","12,531,238","28,800,429","45,007,672","77,291,562","91,218,244", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,528,636,393,114,113,,-1, 
  매출액＜당기＞,50.3,79.6,113.2,51.5,87.2,, , 
  보통주수정평균발행주식수＜당기＞,"9,530,034","12,531,238","28,800,429","45,007,672","77,291,562","91,218,244", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,N/A,N/A,N/A,N/A,N/A,,88.12, 
  보통주수정주가(기말)＜당기＞,"2,748","1,415","1,620","1,435","1,290",752, , 
  EPS＜당기＞,-101,-389,"-1,097",-33,-252,, , 
펼치기 PBR,5.09,1.20,2.60,1.59,1.70,,7.01, 
  보통주수정주가(기말)＜당기＞,"2,748","1,415","1,620","1,435","1,290",752, , 
  BPS＜당기＞,540,"1,184",623,903,758,, , 
펼치기 PCR,-29.80,-4.89,-13.18,19.49,-89.06,,-557.06, 
  보통주수정주가(기말)＜당기＞,"2,748","1,415","1,620","1,435","1,290",752, , 
  CPS＜당기＞,-92,-289,-123,74,-14,, , 
펼치기 PSR,5.20,2.23,4.12,12.55,11.43,,-8.92, 
  보통주수정주가(기말)＜당기＞,"2,748","1,415","1,620","1,435","1,290",752, , 
  SPS＜당기＞,528,636,393,114,113,, , 
펼치기 EV/EBITDA,29.77,-24.90,-30.13,-294.06,-17.03,,94.21, 
  EV＜당기＞,312.0,225.9,874.9,682.6,699.4,, , 
  EBITDA＜당기＞,10.5,-9.1,-29.0,-2.3,-41.1,, , 
펼치기 DPS,0,0,0,0,,, , 
  현금DPS,0,0,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
