항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)",2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,56,160,231,324,197,, , 
  당기순이익(지배)＜당기＞,7.1,20.3,29.4,46.7,33.7,, , 
  보통주수정평균발행주식수＜당기＞,"12,720,508","12,720,508","12,732,034","14,435,351","17,111,496","17,406,091", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,734,886,"1,121","1,801","2,038",, , 
  자본총계(지배)＜당기＞,93.3,112.8,142.9,307.6,348.0,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"12,720,508","12,720,508","12,753,378","17,080,235","17,069,889","17,381,254", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,1,125,82,166,121,, , 
  영업활동현금흐름＜당기＞,0.1,15.9,10.5,24.0,20.7,, , 
  보통주수정평균발행주식수＜당기＞,"12,720,508","12,720,508","12,732,034","14,435,351","17,111,496","17,406,091", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"1,045","1,398","1,681","1,457","1,794",, , 
  매출액＜당기＞,132.9,177.8,214.0,210.3,306.9,, , 
  보통주수정평균발행주식수＜당기＞,"12,720,508","12,720,508","12,732,034","14,435,351","17,111,496","17,406,091", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,,,,18.34,30.07,, , 
  보통주수정주가(기말)＜당기＞,,,,"5,935","5,921","5,620", , 
  EPS＜당기＞,56,160,231,324,197,, , 
펼치기 PBR,0.00,0.00,0.00,3.30,2.90,, , 
  보통주수정주가(기말)＜당기＞,,,,"5,935","5,921","5,620", , 
  BPS＜당기＞,734,886,"1,121","1,801","2,038",, , 
펼치기 PCR,,,,35.71,48.83,, , 
  보통주수정주가(기말)＜당기＞,,,,"5,935","5,921","5,620", , 
  CPS＜당기＞,1,125,82,166,121,, , 
펼치기 PSR,,,,4.07,3.30,, , 
  보통주수정주가(기말)＜당기＞,,,,"5,935","5,921","5,620", , 
  SPS＜당기＞,"1,045","1,398","1,681","1,457","1,794",, , 
펼치기 EV/EBITDA,,,,22.31,20.97,, , 
  EV＜당기＞,,,,965.6,"1,024.9",, , 
  EBITDA＜당기＞,14.1,29.3,41.9,43.3,48.9,, , 
펼치기 DPS,0,0,0,0,,, , 
  현금DPS,0,0,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,,,,0.00,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
