항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)",2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,"1,229","1,312",207,"1,396","1,084","1,642",-22,52
  당기순이익(지배)＜당기＞,132.3,141.2,22.3,150.2,120.1,190.0, , 
  보통주수정평균발행주식수＜당기＞,"10,761,828","10,761,828","10,761,828","10,761,828","11,079,182","11,571,858", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"7,789","8,864","8,883","10,501","12,426","12,029",18,-3
  자본총계(지배)＜당기＞,814.9,900.7,902.7,"1,130.1","1,437.9","1,392.0", , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"10,461,828","10,161,828","10,161,828","10,761,828","11,571,858","11,571,858", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,"1,935",754,365,"1,429",847,"2,014",-41,138
  영업활동현금흐름＜당기＞,208.2,81.2,39.3,153.8,93.8,182.0, , 
  보통주수정평균발행주식수＜당기＞,"10,761,828","10,761,828","10,761,828","10,761,828","11,079,182","11,571,858", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"6,912","6,899","5,465","8,837","11,468","13,049",30,14
  매출액＜당기＞,743.8,742.4,588.1,951.0,"1,270.6","1,510.0", , 
  보통주수정평균발행주식수＜당기＞,"10,761,828","10,761,828","10,761,828","10,761,828","11,079,182","11,571,858", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,11.79,5.78,45.58,15.19,21.09,13.22,38.82,-37.32
  보통주수정주가(기말)＜당기＞,"14,500","7,580","9,450","21,200","22,850","21,700", , 
  EPS＜당기＞,"1,229","1,312",207,"1,396","1,084","1,642", , 
펼치기 PBR,1.86,0.86,1.06,2.02,1.84,1.80,-8.91,-1.90
  보통주수정주가(기말)＜당기＞,"14,500","7,580","9,450","21,200","22,850","21,700", , 
  BPS＜당기＞,"7,789","8,864","8,883","10,501","12,426","12,029", , 
펼치기 PCR,7.49,10.05,25.89,14.83,26.98,10.78,81.90,-60.05
  보통주수정주가(기말)＜당기＞,"14,500","7,580","9,450","21,200","22,850","21,700", , 
  CPS＜당기＞,"1,935",754,365,"1,429",847,"2,014", , 
펼치기 PSR,2.10,1.10,1.73,2.40,1.99,1.66,-16.95,-16.54
  보통주수정주가(기말)＜당기＞,"14,500","7,580","9,450","21,200","22,850","21,700", , 
  SPS＜당기＞,"6,912","6,899","5,465","8,837","11,468","13,049", , 
펼치기 EV/EBITDA,7.74,4.46,10.75,13.49,14.93,9.58,10.63,-35.83
  EV＜당기＞,"1,489.1",835.9,"1,078.9","2,325.5","2,595.4","2,519.1", , 
  EBITDA＜당기＞,192.4,187.4,100.4,172.3,173.9,263.0, , 
펼치기 DPS,300,200,0,200,200,,0, 
  현금DPS,300,200,0,200,200,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,2.07,2.64,0.00,0.94,0.88,0.92,-0.07,0.05
  현금배당성향(%),23.72,14.40,0.00,14.33,19.28,12.18,4.95,-7.10
