항목,"2018/12
(IFRS별도)","2019/09
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,,-111,-17,5,-3,,-159, 
  당기순이익(지배)＜당기＞,,-0.0,-0.3,0.2,-0.1,, , 
  보통주수정평균발행주식수＜당기＞,,,"1,788,261","4,310,000","4,310,000","5,960,611", , 
  우선주수정평균발행주식수＜당기＞,,,0,0,0,, , 
펼치기 BPS,,"1,433","1,921","1,927","1,923",,-0, 
  자본총계(지배)＜당기＞,,4.4,82.8,83.0,82.9,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,0,"310,000","4,310,000","4,310,000","4,310,000","8,944,409", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,, , 
펼치기 CPS,,136,-15,8,7,,-10, 
  영업활동현금흐름＜당기＞,,0.0,-0.3,0.3,0.3,, , 
  보통주수정평균발행주식수＜당기＞,,,"1,788,261","4,310,000","4,310,000","5,960,611", , 
  우선주수정평균발행주식수＜당기＞,,,0,0,0,, , 
펼치기 SPS,,0,0,0,0,, , 
  매출액＜당기＞,,0.0,0.0,0.0,0.0,, , 
  보통주수정평균발행주식수＜당기＞,,,"1,788,261","4,310,000","4,310,000","5,960,611", , 
  우선주수정평균발행주식수＜당기＞,,,0,0,0,, , 
펼치기 PER,,,N/A,377.00,N/A,,-271.91, 
  보통주수정주가(기말)＜당기＞,,,"2,020","2,050","2,065","2,180", , 
  EPS＜당기＞,,-111,-17,5,-3,, , 
펼치기 PBR,,0.00,1.05,1.06,1.07,,0.90, 
  보통주수정주가(기말)＜당기＞,,,"2,020","2,050","2,065","2,180", , 
  BPS＜당기＞,,"1,433","1,921","1,927","1,923",, , 
펼치기 PCR,,,-133.86,260.20,292.49,,12.41, 
  보통주수정주가(기말)＜당기＞,,,"2,020","2,050","2,065","2,180", , 
  CPS＜당기＞,,136,-15,8,7,, , 
펼치기 PSR,,,,,,, , 
  보통주수정주가(기말)＜당기＞,,,"2,020","2,050","2,065","2,180", , 
  SPS＜당기＞,,0,0,0,0,, , 
펼치기 EV/EBITDA,,,-242.97,-651.75,-438.91,,32.66, 
  EV＜당기＞,,,84.2,86.1,87.3,, , 
  EBITDA＜당기＞,,-0.0,-0.3,-0.1,-0.2,, , 
펼치기 DPS,,0,0,0,0,, , 
  현금DPS,,0,0,0,0,, , 
  주식DPS,,0,0,0,0,, , 
  현금배당수익률,,,0.00,0.00,0.00,,0.00, 
  현금배당성향(%),,0.00,0.00,0.00,,, , 
