항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)",2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,660,307,252,267,715,349,167,-51
  당기순이익(지배)＜당기＞,27.9,14.9,14.9,15.8,48.8,24.0, , 
  보통주수정평균발행주식수＜당기＞,"4,225,384","4,842,272","5,902,709","5,909,533","6,831,823","6,874,316", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 BPS,"1,431","5,322","5,645","9,859","10,202","10,445",3,2
  자본총계(지배)＜당기＞,60.5,301.4,319.7,645.2,701.3,718.0, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"4,225,384","5,662,710","5,662,709","6,544,316","6,874,316","6,874,316", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,, , 
펼치기 CPS,-311,383,"-3,344",750,"-1,437",640,-292,145
  영업활동현금흐름＜당기＞,-13.2,18.5,-197.4,44.3,-98.2,24.0, , 
  보통주수정평균발행주식수＜당기＞,"4,225,384","4,842,272","5,902,709","5,909,533","6,831,823","6,874,316", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 SPS,"4,803","6,504","6,430","7,952","6,924","9,848",-13,42
  매출액＜당기＞,202.9,314.9,379.5,469.9,473.1,677.0, , 
  보통주수정평균발행주식수＜당기＞,"4,225,384","4,842,272","5,902,709","5,909,533","6,831,823","6,874,316", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 PER,,97.42,66.73,139.54,39.04,76.48,-72.03,95.91
  보통주수정주가(기말)＜당기＞,,"29,910","16,806","37,300","27,900","26,700", , 
  EPS＜당기＞,660,307,252,267,715,349, , 
펼치기 PBR,0.00,5.62,2.98,3.78,2.73,2.56,-27.71,-6.53
  보통주수정주가(기말)＜당기＞,,"29,910","16,806","37,300","27,900","26,700", , 
  BPS＜당기＞,"1,431","5,322","5,645","9,859","10,202","10,445", , 
펼치기 PCR,,78.17,-5.03,49.74,-19.42,41.71,-139.04,314.82
  보통주수정주가(기말)＜당기＞,,"29,910","16,806","37,300","27,900","26,700", , 
  CPS＜당기＞,-311,383,"-3,344",750,"-1,437",640, , 
펼치기 PSR,,4.60,2.61,4.69,4.03,2.71,-14.10,-32.71
  보통주수정주가(기말)＜당기＞,,"29,910","16,806","37,300","27,900","26,700", , 
  SPS＜당기＞,"4,803","6,504","6,430","7,952","6,924","9,848", , 
펼치기 EV/EBITDA,,76.31,41.86,84.69,51.29,30.23,-39.44,-41.07
  EV＜당기＞,,"1,561.8","1,028.9","2,154.4","1,752.9","1,662.4", , 
  EBITDA＜당기＞,34.3,20.5,24.6,25.4,34.2,55.0, , 
펼치기 DPS,0,49,49,100,100,,0, 
  현금DPS,0,49,49,100,100,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,,0.16,0.29,0.27,0.36,0.37,0.09,0.02
  현금배당성향(%),0.00,18.51,18.51,41.43,14.08,28.64,-27.35,14.56
