항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)",2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,15,-19,-321,-4,-65,,"-1,611", 
  당기순이익(지배)＜당기＞,17.7,-22.6,-383.3,-4.8,-82.4,, , 
  보통주수정평균발행주식수＜당기＞,"116,060,518","116,391,006","119,554,714","125,602,563","127,232,640","127,617,473", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,496,479,357,548,531,,-3, 
  자본총계(지배)＜당기＞,577.2,557.3,440.0,692.2,677.2,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"116,391,006","116,391,006","123,154,517","126,348,384","127,617,473","127,617,473", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,, , 
펼치기 CPS,-28,-44,-15,48,-78,,-261, 
  영업활동현금흐름＜당기＞,-32.9,-51.3,-17.5,60.9,-99.0,, , 
  보통주수정평균발행주식수＜당기＞,"116,060,518","116,391,006","119,554,714","125,602,563","127,232,640","127,617,473", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,379,418,701,797,750,,-6, 
  매출액＜당기＞,439.9,487.1,838.5,"1,000.6",954.5,, , 
  보통주수정평균발행주식수＜당기＞,"116,060,518","116,391,006","119,554,714","125,602,563","127,232,640","127,617,473", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,51.12,N/A,N/A,N/A,N/A,,95.43, 
  보통주수정주가(기말)＜당기＞,780,"1,185","5,980","5,200","4,065","2,770", , 
  EPS＜당기＞,15,-19,-321,-4,-65,, , 
펼치기 PBR,1.57,2.47,16.74,9.49,7.66,,-19.30, 
  보통주수정주가(기말)＜당기＞,780,"1,185","5,980","5,200","4,065","2,770", , 
  BPS＜당기＞,496,479,357,548,531,, , 
펼치기 PCR,-27.55,-26.90,-407.82,107.23,-52.22,,-148.70, 
  보통주수정주가(기말)＜당기＞,780,"1,185","5,980","5,200","4,065","2,770", , 
  CPS＜당기＞,-28,-44,-15,48,-78,, , 
펼치기 PSR,2.06,2.83,8.53,6.53,5.42,,-16.99, 
  보통주수정주가(기말)＜당기＞,780,"1,185","5,980","5,200","4,065","2,770", , 
  SPS＜당기＞,379,418,701,797,750,, , 
펼치기 EV/EBITDA,90.28,106.76,253.92,236.71,-149.77,,-163.27, 
  EV＜당기＞,"1,273.6","1,794.0","7,692.7","6,900.5","5,575.4",, , 
  EBITDA＜당기＞,14.1,16.8,30.3,29.2,-37.2,, , 
펼치기 DPS,0,0,0,0,,, , 
  현금DPS,0,0,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
