항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,585,359,428,335,531,,58, 
  당기순이익(지배)＜당기＞,38.0,23.3,27.8,21.8,34.5,, , 
  보통주수정평균발행주식수＜당기＞,"6,496,600","6,496,600","6,496,600","6,496,600","6,496,600","6,496,600", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"8,502","8,869","9,172","9,551","10,084",,6, 
  자본총계(지배)＜당기＞,552.3,576.2,595.8,620.5,655.1,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"6,496,600","6,496,600","6,496,600","6,496,600","6,496,600",, , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,, , 
펼치기 CPS,702,-154,692,516,483,,-6, 
  영업활동현금흐름＜당기＞,45.6,-10.0,45.0,33.5,31.4,, , 
  보통주수정평균발행주식수＜당기＞,"6,496,600","6,496,600","6,496,600","6,496,600","6,496,600","6,496,600", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"4,592","3,506","3,294","3,023","3,342",,11, 
  매출액＜당기＞,298.3,227.7,214.0,196.4,217.1,, , 
  보통주수정평균발행주식수＜당기＞,"6,496,600","6,496,600","6,496,600","6,496,600","6,496,600","6,496,600", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,14.23,23.43,12.95,17.57,13.26,,-24.55, 
  보통주수정주가(기말)＜당기＞,"8,320","8,400","5,540","5,890","7,040","7,710", , 
  EPS＜당기＞,585,359,428,335,531,, , 
펼치기 PBR,0.98,0.95,0.60,0.62,0.70,,13.20, 
  보통주수정주가(기말)＜당기＞,"8,320","8,400","5,540","5,890","7,040","7,710", , 
  BPS＜당기＞,"8,502","8,869","9,172","9,551","10,084",, , 
펼치기 PCR,11.85,-54.63,8.00,11.41,14.57,,27.71, 
  보통주수정주가(기말)＜당기＞,"8,320","8,400","5,540","5,890","7,040","7,710", , 
  CPS＜당기＞,702,-154,692,516,483,, , 
펼치기 PSR,1.81,2.40,1.68,1.95,2.11,,8.14, 
  보통주수정주가(기말)＜당기＞,"8,320","8,400","5,540","5,890","7,040","7,710", , 
  SPS＜당기＞,"4,592","3,506","3,294","3,023","3,342",, , 
펼치기 EV/EBITDA,5.12,13.04,2.70,4.38,4.83,,10.34, 
  EV＜당기＞,265.4,301.6,77.1,74.3,125.6,, , 
  EBITDA＜당기＞,51.8,23.1,28.5,17.0,26.0,, , 
펼치기 DPS,,,,,,, , 
  현금DPS,,,,,,, , 
  주식DPS,,,,,,, , 
  현금배당수익률,,,,,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
