항목,"2017/12
(IFRS별도)",2018/12,2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,442,408,403,885,"1,230","1,088",39,-12
  당기순이익(지배)＜당기＞,45.4,49.2,48.5,108.7,151.0,133.5, , 
  보통주수정평균발행주식수＜당기＞,"10,268,824","12,041,343","12,052,458","12,275,111","12,275,111",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 BPS,"2,664","3,042","3,398","4,263","5,615","6,730",32,20
  자본총계(지배)＜당기＞,319.8,365.2,415.2,520.3,685.3,820.5, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"12,003,868","12,003,868","12,219,229","12,203,709","12,203,709","12,192,127", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,342,364,418,"1,009","1,061","1,189",5,12
  영업활동현금흐름＜당기＞,35.1,43.8,50.4,123.8,130.2,134.0, , 
  보통주수정평균발행주식수＜당기＞,"10,268,824","12,041,343","12,052,458","12,275,111","12,275,111",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 SPS,"2,584","2,664","3,496","4,703","5,493","5,813",17,6
  매출액＜당기＞,265.4,320.8,421.4,577.3,674.2,713.5, , 
  보통주수정평균발행주식수＜당기＞,"10,268,824","12,041,343","12,052,458","12,275,111","12,275,111",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 PER,15.96,34.65,48.31,41.57,33.61,23.40,-19.13,-30.38
  보통주수정주가(기말)＜당기＞,"7,050","14,150","19,450","36,800","41,350","25,450", , 
  EPS＜당기＞,442,408,403,885,"1,230","1,088", , 
펼치기 PBR,2.65,4.65,5.72,8.63,7.36,3.78,-14.69,-48.64
  보통주수정주가(기말)＜당기＞,"7,050","14,150","19,450","36,800","41,350","25,450", , 
  BPS＜당기＞,"2,664","3,042","3,398","4,263","5,615","6,730", , 
펼치기 PCR,20.62,38.91,46.56,36.48,38.98,21.40,6.87,-45.11
  보통주수정주가(기말)＜당기＞,"7,050","14,150","19,450","36,800","41,350","25,450", , 
  CPS＜당기＞,342,364,418,"1,009","1,061","1,189", , 
펼치기 PSR,2.73,5.31,5.56,7.83,7.53,4.38,-3.80,-41.84
  보통주수정주가(기말)＜당기＞,"7,050","14,150","19,450","36,800","41,350","25,450", , 
  SPS＜당기＞,"2,584","2,664","3,496","4,703","5,493","5,813", , 
펼치기 EV/EBITDA,14.56,21.61,24.68,29.02,27.99,16.99,-3.54,-39.31
  EV＜당기＞,792.7,"1,398.0","2,016.1","4,051.3","4,612.1","2,837.5", , 
  EBITDA＜당기＞,54.4,64.7,81.7,139.6,164.8,167.0, , 
펼치기 DPS,0,0,,,,, , 
  현금DPS,0,0,,,,, , 
  주식DPS,0,0,,,,, , 
  현금배당수익률,0.00,0.00,,,,0.00, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
