항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,353,793,"1,013",942,901,,-4, 
  당기순이익(지배)＜당기＞,39.8,89.4,114.1,106.2,101.6,, , 
  보통주수정평균발행주식수＜당기＞,"11,270,000","11,270,000","11,270,000","11,270,000","11,270,000",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 BPS,"4,552","5,166","6,145","6,931","7,674",,11, 
  자본총계(지배)＜당기＞,489.8,555.8,661.2,745.8,825.7,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"10,760,200","10,760,200","10,760,200","10,760,200","10,760,200",, , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,, , 
펼치기 CPS,683,668,"1,234",885,682,,-23, 
  영업활동현금흐름＜당기＞,76.9,75.3,139.1,99.8,76.9,, , 
  보통주수정평균발행주식수＜당기＞,"11,270,000","11,270,000","11,270,000","11,270,000","11,270,000",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 SPS,"4,304","5,376","6,179","6,500","7,232",,11, 
  매출액＜당기＞,485.0,605.9,696.4,732.5,815.0,, , 
  보통주수정평균발행주식수＜당기＞,"11,270,000","11,270,000","11,270,000","11,270,000","11,270,000",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 PER,24.35,9.81,10.71,10.62,10.19,,-4.04, 
  보통주수정주가(기말)＜당기＞,"8,590","7,780","10,850","10,000","9,180","9,560", , 
  EPS＜당기＞,353,793,"1,013",942,901,, , 
펼치기 PBR,1.89,1.51,1.77,1.44,1.20,,-17.09, 
  보통주수정주가(기말)＜당기＞,"8,590","7,780","10,850","10,000","9,180","9,560", , 
  BPS＜당기＞,"4,552","5,166","6,145","6,931","7,674",, , 
펼치기 PCR,12.59,11.65,8.79,11.29,13.46,,19.17, 
  보통주수정주가(기말)＜당기＞,"8,590","7,780","10,850","10,000","9,180","9,560", , 
  CPS＜당기＞,683,668,"1,234",885,682,, , 
펼치기 PSR,2.00,1.45,1.76,1.54,1.27,,-17.49, 
  보통주수정주가(기말)＜당기＞,"8,590","7,780","10,850","10,000","9,180","9,560", , 
  SPS＜당기＞,"4,304","5,376","6,179","6,500","7,232",, , 
펼치기 EV/EBITDA,14.01,6.46,7.00,6.24,6.23,,-0.21, 
  EV＜당기＞,975.9,847.3,"1,145.2","1,049.3",964.9,, , 
  EBITDA＜당기＞,69.6,131.2,163.5,168.2,155.0,, , 
펼치기 DPS,180,180,200,200,200,,0, 
  현금DPS,180,180,200,200,200,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,2.10,2.31,1.84,2.00,2.18,,0.18, 
  현금배당성향(%),48.71,21.68,18.85,20.27,21.19,,0.92, 
