항목,"2017/12
(GAAP개별)",2018/12,2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,189,171,-43,215,150,450,-30,200
  당기순이익(지배)＜당기＞,62.5,56.7,-15.7,80.8,56.4,172.0, , 
  보통주수정평균발행주식수＜당기＞,"33,141,514","33,141,514","36,270,302","37,539,708","37,600,925","38,221,155", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,809,787,"1,019","1,193","1,401","1,850",17,32
  자본총계(지배)＜당기＞,268.2,260.7,374.9,432.3,509.2,687.0, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"33,141,514","33,141,514","36,780,088","36,247,922","36,349,835","37,126,960", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,65,336,-135,369,-122,481,-133,496
  영업활동현금흐름＜당기＞,21.7,111.5,-48.8,138.4,-45.7,-53.0, , 
  보통주수정평균발행주식수＜당기＞,"33,141,514","33,141,514","36,270,302","37,539,708","37,600,925","38,221,155", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"1,231","1,356",751,"1,296",989,"2,514",-24,154
  매출액＜당기＞,408.1,449.4,272.3,486.4,371.8,961.0, , 
  보통주수정평균발행주식수＜당기＞,"33,141,514","33,141,514","36,270,302","37,539,708","37,600,925","38,221,155", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,,,N/A,16.80,24.12,9.16,43.51,-62.04
  보통주수정주가(기말)＜당기＞,,,"1,360","3,615","3,620","4,120", , 
  EPS＜당기＞,189,171,-43,215,150,450, , 
펼치기 PBR,,,1.33,3.03,2.58,2.23,-14.75,-13.83
  보통주수정주가(기말)＜당기＞,,,"1,360","3,615","3,620","4,120", , 
  BPS＜당기＞,809,787,"1,019","1,193","1,401","1,850", , 
펼치기 PCR,,,-10.10,9.80,-29.76,8.56,-403.59,128.76
  보통주수정주가(기말)＜당기＞,,,"1,360","3,615","3,620","4,120", , 
  CPS＜당기＞,65,336,-135,369,-122,481, , 
펼치기 PSR,,,1.81,2.79,3.66,1.64,31.23,-55.25
  보통주수정주가(기말)＜당기＞,,,"1,360","3,615","3,620","4,120", , 
  SPS＜당기＞,"1,231","1,356",751,"1,296",989,"2,514", , 
펼치기 EV/EBITDA,,,-20.59,9.14,22.05,7.72,141.24,-64.96
  EV＜당기＞,,,467.7,"1,201.4","1,300.7","1,614.3", , 
  EBITDA＜당기＞,82.6,65.6,-22.7,131.5,59.0,209.0, , 
펼치기 DPS,6,0,10,20,15,,-25, 
  현금DPS,6,0,10,20,15,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,,0.00,0.74,0.55,0.41,0.61,-0.14,0.19
  현금배당성향(%),0.32,0.00,-23.43,8.98,9.66,5.59,0.68,-4.07
