항목,2017/12,"2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,-459,-301,109,66,163,,146, 
  당기순이익(지배)＜당기＞,-52.3,-39.4,17.2,10.9,26.8,, , 
  보통주수정평균발행주식수＜당기＞,"11,272,166","13,093,780","15,750,925","16,496,790","16,496,790",, , 
  우선주수정평균발행주식수＜당기＞,"121,158",0,0,0,0,, , 
펼치기 BPS,444,125,"2,317","2,392","2,548",,6, 
  자본총계(지배)＜당기＞,58.1,16.3,382.3,394.7,420.3,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"13,093,780","13,093,780","16,496,790","16,496,790","16,496,790",, , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,, , 
펼치기 CPS,843,-337,-190,261,33,,-88, 
  영업활동현금흐름＜당기＞,96.0,-44.1,-30.0,43.0,5.4,, , 
  보통주수정평균발행주식수＜당기＞,"11,272,166","13,093,780","15,750,925","16,496,790","16,496,790",, , 
  우선주수정평균발행주식수＜당기＞,"121,158",0,0,0,0,, , 
펼치기 SPS,"9,769","6,492","5,929","6,775","7,399",,9, 
  매출액＜당기＞,"1,113.0",850.1,933.9,"1,117.7","1,220.7",, , 
  보통주수정평균발행주식수＜당기＞,"11,272,166","13,093,780","15,750,925","16,496,790","16,496,790",, , 
  우선주수정평균발행주식수＜당기＞,"121,158",0,0,0,0,, , 
펼치기 PER,,,118.34,236.11,73.12,,-69.03, 
  보통주수정주가(기말)＜당기＞,,,"12,900","15,650","11,900","12,450", , 
  EPS＜당기＞,-459,-301,109,66,163,, , 
펼치기 PBR,0.00,0.00,5.57,6.54,4.67,,-28.60, 
  보통주수정주가(기말)＜당기＞,,,"12,900","15,650","11,900","12,450", , 
  BPS＜당기＞,444,125,"2,317","2,392","2,548",, , 
펼치기 PCR,,,-67.78,59.97,365.64,,509.68, 
  보통주수정주가(기말)＜당기＞,,,"12,900","15,650","11,900","12,450", , 
  CPS＜당기＞,843,-337,-190,261,33,, , 
펼치기 PSR,,,2.18,2.31,1.61,,-30.37, 
  보통주수정주가(기말)＜당기＞,,,"12,900","15,650","11,900","12,450", , 
  SPS＜당기＞,"9,769","6,492","5,929","6,775","7,399",, , 
펼치기 EV/EBITDA,,,38.07,44.27,30.10,,-32.01, 
  EV＜당기＞,,,"2,234.2","2,727.5","2,265.3",, , 
  EBITDA＜당기＞,50.9,-4.7,58.7,61.6,75.3,, , 
펼치기 DPS,0,,,,,, , 
  현금DPS,0,,,,,, , 
  주식DPS,0,,,,,, , 
  현금배당수익률,,,,,,, , 
  현금배당성향(%),0.00,,0.00,0.00,,, , 
