항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,182,146,141,305,"1,375",,351, 
  당기순이익(지배)＜당기＞,87.2,70.2,67.5,146.2,660.0,, , 
  보통주수정평균발행주식수＜당기＞,"48,000,000","48,000,000","48,000,000","48,000,000","48,000,000","48,000,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"1,478","1,570","1,661","1,915","3,198",,67, 
  자본총계(지배)＜당기＞,709.5,753.5,797.0,919.2,"1,517.1",, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"47,994,575","47,994,575","47,994,575","47,994,575","47,434,335","46,994,575", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,130,28,89,304,702,,131, 
  영업활동현금흐름＜당기＞,62.3,13.6,42.6,145.9,337.1,, , 
  보통주수정평균발행주식수＜당기＞,"48,000,000","48,000,000","48,000,000","48,000,000","48,000,000","48,000,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,523,357,447,671,"2,450",,265, 
  매출액＜당기＞,251.3,171.2,214.4,321.9,"1,176.2",, , 
  보통주수정평균발행주식수＜당기＞,"48,000,000","48,000,000","48,000,000","48,000,000","48,000,000","48,000,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,13.70,13.85,13.80,8.52,3.86,,-54.66, 
  보통주수정주가(기말)＜당기＞,"2,490","2,025","1,940","2,595","5,310","3,895", , 
  EPS＜당기＞,182,146,141,305,"1,375",, , 
펼치기 PBR,1.68,1.29,1.17,1.35,1.66,,22.54, 
  보통주수정주가(기말)＜당기＞,"2,490","2,025","1,940","2,595","5,310","3,895", , 
  BPS＜당기＞,"1,478","1,570","1,661","1,915","3,198",, , 
펼치기 PCR,19.19,71.23,21.85,8.54,7.56,,-11.43, 
  보통주수정주가(기말)＜당기＞,"2,490","2,025","1,940","2,595","5,310","3,895", , 
  CPS＜당기＞,130,28,89,304,702,, , 
펼치기 PSR,4.76,5.68,4.34,3.87,2.17,,-44.00, 
  보통주수정주가(기말)＜당기＞,"2,490","2,025","1,940","2,595","5,310","3,895", , 
  SPS＜당기＞,523,357,447,671,"2,450",, , 
펼치기 EV/EBITDA,8.51,10.40,9.06,5.57,2.44,,-56.23, 
  EV＜당기＞,"1,050.1",841.1,787.6,982.9,"2,046.2",, , 
  EBITDA＜당기＞,123.4,80.9,86.9,176.5,839.4,, , 
펼치기 DPS,60,50,50,100,200,,100, 
  현금DPS,60,50,50,100,200,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,2.41,2.47,2.58,3.85,3.77,,-0.09, 
  현금배당성향(%),33.02,34.19,35.56,32.82,14.44,,-18.39, 
