항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)",2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,"1,416","1,242",673,694,970,"1,190",40,23
  당기순이익(지배)＜당기＞,214.1,187.8,111.3,127.5,178.3,218.7, , 
  보통주수정평균발행주식수＜당기＞,"15,120,000","15,120,000","16,538,989","18,377,428","18,377,428","18,377,428", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"2,830","4,058","7,900","8,589","9,481","12,849",10,36
  자본총계(지배)＜당기＞,427.8,613.5,"1,451.9","1,572.4","1,723.2","2,331.0", , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"15,120,000","15,120,000","18,377,428","18,305,978","18,175,480","18,140,845", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,"1,502","1,596",789,891,"1,150","1,909",29,66
  영업활동현금흐름＜당기＞,227.1,241.3,130.5,163.8,211.3,362.5, , 
  보통주수정평균발행주식수＜당기＞,"15,120,000","15,120,000","16,538,989","18,377,428","18,377,428","18,377,428", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"5,280","4,691","3,739","4,265","6,115","6,938",43,13
  매출액＜당기＞,798.4,709.3,618.4,783.8,"1,123.8","1,275.1", , 
  보통주수정평균발행주식수＜당기＞,"15,120,000","15,120,000","16,538,989","18,377,428","18,377,428","18,377,428", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,,,28.46,25.66,31.80,18.11,23.92,-43.05
  보통주수정주가(기말)＜당기＞,,,"19,150","17,800","30,850","21,550", , 
  EPS＜당기＞,"1,416","1,242",673,694,970,"1,190", , 
펼치기 PBR,0.00,0.00,2.42,2.07,3.25,1.68,57.02,-48.46
  보통주수정주가(기말)＜당기＞,,,"19,150","17,800","30,850","21,550", , 
  BPS＜당기＞,"2,830","4,058","7,900","8,589","9,481","12,849", , 
펼치기 PCR,,,24.28,19.97,26.83,11.29,34.36,-57.92
  보통주수정주가(기말)＜당기＞,,,"19,150","17,800","30,850","21,550", , 
  CPS＜당기＞,"1,502","1,596",789,891,"1,150","1,909", , 
펼치기 PSR,,,5.12,4.17,5.04,3.11,20.87,-38.43
  보통주수정주가(기말)＜당기＞,,,"19,150","17,800","30,850","21,550", , 
  SPS＜당기＞,"5,280","4,691","3,739","4,265","6,115","6,938", , 
펼치기 EV/EBITDA,,,16.51,13.56,17.55,8.64,29.39,-50.75
  EV＜당기＞,,,"3,193.3","2,945.0","5,460.5","3,317.0", , 
  EBITDA＜당기＞,305.9,290.3,193.4,217.2,311.2,383.8, , 
펼치기 DPS,0,0,0,0,,, , 
  현금DPS,0,0,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,,,0.00,0.00,,0.00, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
