항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)",2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,564,156,197,554,-708,,-228, 
  당기순이익(지배)＜당기＞,49.2,15.8,20.1,58.5,-80.7,, , 
  보통주수정평균발행주식수＜당기＞,"8,710,372","10,156,077","10,173,820","10,568,242","11,408,426","12,166,559", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"3,291","3,848","4,069","5,255","4,539",,-14, 
  자본총계(지배)＜당기＞,334.2,390.8,416.2,587.4,518.7,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"10,156,078","10,156,078","10,227,250","11,178,924","11,425,512","12,153,428", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,"-1,011",-502,"-1,537",631,"-1,161",,-284, 
  영업활동현금흐름＜당기＞,-88.1,-51.0,-156.3,66.6,-132.4,, , 
  보통주수정평균발행주식수＜당기＞,"8,710,372","10,156,077","10,173,820","10,568,242","11,408,426","12,166,559", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"8,279","7,691","10,256","15,002","6,704","16,299",-55,143
  매출액＜당기＞,721.1,781.1,"1,043.4","1,585.4",764.8,"1,983.0", , 
  보통주수정평균발행주식수＜당기＞,"8,710,372","10,156,077","10,173,820","10,568,242","11,408,426","12,166,559", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,18.53,54.76,44.59,26.83,N/A,,-190.35, 
  보통주수정주가(기말)＜당기＞,"10,461","8,520","8,797","14,850","17,150","16,550", , 
  EPS＜당기＞,564,156,197,554,-708,, , 
펼치기 PBR,3.18,2.21,2.16,2.83,3.78,,33.69, 
  보통주수정주가(기말)＜당기＞,"10,461","8,520","8,797","14,850","17,150","16,550", , 
  BPS＜당기＞,"3,291","3,848","4,069","5,255","4,539",, , 
펼치기 PCR,-10.34,-16.96,-5.72,23.55,-14.77,,-162.74, 
  보통주수정주가(기말)＜당기＞,"10,461","8,520","8,797","14,850","17,150","16,550", , 
  CPS＜당기＞,"-1,011",-502,"-1,537",631,"-1,161",, , 
펼치기 PSR,1.26,1.11,0.86,0.99,2.56,1.02,158.43,-60.31
  보통주수정주가(기말)＜당기＞,"10,461","8,520","8,797","14,850","17,150","16,550", , 
  SPS＜당기＞,"8,279","7,691","10,256","15,002","6,704","16,299", , 
펼치기 EV/EBITDA,11.88,34.36,31.53,16.15,-19.08,,-218.16, 
  EV＜당기＞,"1,004.5",869.5,"1,188.6","1,871.5","2,345.0",, , 
  EBITDA＜당기＞,84.6,25.3,37.7,115.9,-122.9,, , 
펼치기 DPS,0,0,0,100,,, , 
  현금DPS,0,0,0,100,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,0.00,0.00,0.00,0.67,,, , 
  현금배당성향(%),0.00,0.00,0.00,19.11,,, , 
