항목,2017/06,"2018/06
(IFRS별도)","2019/06
(IFRS별도)","2020/06
(IFRS별도)","2021/06
(IFRS별도)","2022/06(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,184,130,22,44,212,,386, 
  당기순이익(지배)＜당기＞,41.4,29.3,5.0,9.8,47.7,, , 
  보통주수정평균발행주식수＜당기＞,"22,500,000","22,500,000","22,500,000","22,500,000","22,500,000","22,500,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"4,145","4,680","4,624","4,634","4,822",,4, 
  자본총계(지배)＜당기＞,923.7,996.1,984.3,986.5,"1,026.3",, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"22,285,988","21,285,988","21,285,988","21,285,988","21,282,526","21,282,526", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,-88,106,92,-739,"1,096",,248, 
  영업활동현금흐름＜당기＞,-19.8,23.8,20.7,-166.2,246.6,, , 
  보통주수정평균발행주식수＜당기＞,"22,500,000","22,500,000","22,500,000","22,500,000","22,500,000","22,500,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"4,520","4,473","4,567","5,020","4,735",,-6, 
  매출액＜당기＞,"1,017.1","1,006.5","1,027.7","1,129.5","1,065.4",, , 
  보통주수정평균발행주식수＜당기＞,"22,500,000","22,500,000","22,500,000","22,500,000","22,500,000","22,500,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,14.72,20.52,152.28,51.39,16.13,,-68.61, 
  보통주수정주가(기말)＜당기＞,"2,706","2,671","3,359","2,240","3,420","3,705", , 
  EPS＜당기＞,184,130,22,44,212,, , 
펼치기 PBR,0.65,0.57,0.73,0.48,0.71,,46.75, 
  보통주수정주가(기말)＜당기＞,"2,706","2,671","3,359","2,240","3,420","3,705", , 
  BPS＜당기＞,"4,145","4,680","4,624","4,634","4,822",, , 
펼치기 PCR,-30.77,25.24,36.59,-3.03,3.12,,202.95, 
  보통주수정주가(기말)＜당기＞,"2,706","2,671","3,359","2,240","3,420","3,705", , 
  CPS＜당기＞,-88,106,92,-739,"1,096",, , 
펼치기 PSR,0.60,0.60,0.74,0.45,0.72,,61.89, 
  보통주수정주가(기말)＜당기＞,"2,706","2,671","3,359","2,240","3,420","3,705", , 
  SPS＜당기＞,"4,520","4,473","4,567","5,020","4,735",, , 
펼치기 EV/EBITDA,5.65,8.98,17.81,9.60,8.63,,-10.14, 
  EV＜당기＞,412.4,469.8,717.0,634.0,649.5,, , 
  EBITDA＜당기＞,73.0,52.3,40.3,66.0,75.3,, , 
펼치기 DPS,58,58,39,39,50,,29, 
  현금DPS,58,58,39,39,50,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,2.16,2.18,1.16,1.74,1.46,,-0.27, 
  현금배당성향(%),31.34,41.70,164.05,83.04,22.31,,-60.73, 
