항목,,2018/12,2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,,,"1,346","1,508","5,197","6,028",245,16
  당기순이익(지배)＜당기＞,,,149.7,222.6,767.3,890.0, , 
  보통주수정평균발행주식수＜당기＞,,,"11,124,330","14,765,020","14,765,020",, , 
  우선주수정평균발행주식수＜당기＞,,,0,0,0,, , 
펼치기 BPS,,,"13,228","14,836","19,776","25,316",33,28
  자본총계(지배)＜당기＞,,,"1,872.5","2,173.8","2,890.7","3,689.0", , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,,0,"14,156,047","14,651,761","14,617,416","14,571,902", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,,0,0,0,0,0, , 
펼치기 CPS,,,"1,589","1,516","7,762","6,366",412,-18
  영업활동현금흐름＜당기＞,,,176.8,223.8,"1,146.0","1,063.3", , 
  보통주수정평균발행주식수＜당기＞,,,"11,124,330","14,765,020","14,765,020",, , 
  우선주수정평균발행주식수＜당기＞,,,0,0,0,, , 
펼치기 SPS,,,"13,899","17,997","30,193","32,696",68,8
  매출액＜당기＞,,,"1,546.1","2,657.3","4,458.0","4,827.5", , 
  보통주수정평균발행주식수＜당기＞,,,"11,124,330","14,765,020","14,765,020",, , 
  우선주수정평균발행주식수＜당기＞,,,0,0,0,, , 
펼치기 PER,,,17.54,26.90,10.16,7.90,-62.23,-22.28
  보통주수정주가(기말)＜당기＞,,,"23,000","40,550","52,800","47,600", , 
  EPS＜당기＞,,,"1,346","1,508","5,197","6,028", , 
펼치기 PBR,,,1.78,2.73,2.67,1.88,-2.31,-29.58
  보통주수정주가(기말)＜당기＞,,,"23,000","40,550","52,800","47,600", , 
  BPS＜당기＞,,,"13,228","14,836","19,776","25,316", , 
펼치기 PCR,,,14.85,26.75,6.80,7.48,-74.57,9.91
  보통주수정주가(기말)＜당기＞,,,"23,000","40,550","52,800","47,600", , 
  CPS＜당기＞,,,"1,589","1,516","7,762","6,366", , 
펼치기 PSR,,,1.70,2.25,1.75,1.46,-22.39,-16.75
  보통주수정주가(기말)＜당기＞,,,"23,000","40,550","52,800","47,600", , 
  SPS＜당기＞,,,"13,899","17,997","30,193","32,696", , 
펼치기 EV/EBITDA,,,13.66,14.11,6.38,3.86,-54.80,-39.42
  EV＜당기＞,,,"2,750.1","5,082.4","6,335.3","4,478.1", , 
  EBITDA＜당기＞,,,201.3,360.2,993.5,"1,159.3", , 
펼치기 DPS,,,300,300,600,,100, 
  현금DPS,,,300,300,600,, , 
  주식DPS,,,0,0,,, , 
  현금배당수익률,,,1.27,0.74,1.14,1.34,0.40,0.21
  현금배당성향(%),,,28.37,19.75,11.43,10.62,-8.32,-0.81
