항목,2017/12,2018/12,"2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,381,-461,"-2,211",64,-342,,-635, 
  당기순이익(지배)＜당기＞,51.6,-62.4,-299.1,8.7,-46.3,, , 
  보통주수정평균발행주식수＜당기＞,"13,530,910","13,530,910","13,530,910","13,530,910","13,530,910","13,530,910", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"6,341","6,125","3,848","3,874","3,394",,-12, 
  자본총계(지배)＜당기＞,851.3,822.3,516.6,520.1,455.6,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"13,425,521","13,425,521","13,425,521","13,425,521","13,425,521",, , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,, , 
펼치기 CPS,556,-481,-732,96,-344,,-457, 
  영업활동현금흐름＜당기＞,75.3,-65.0,-99.1,13.0,-46.5,, , 
  보통주수정평균발행주식수＜당기＞,"13,530,910","13,530,910","13,530,910","13,530,910","13,530,910","13,530,910", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"6,097","4,125","2,195","1,333","1,496",,12, 
  매출액＜당기＞,825.0,558.2,297.0,180.4,202.5,, , 
  보통주수정평균발행주식수＜당기＞,"13,530,910","13,530,910","13,530,910","13,530,910","13,530,910","13,530,910", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,18.29,N/A,N/A,60.50,N/A,,-118.94, 
  보통주수정주가(기말)＜당기＞,"6,970","8,780","5,750","3,870","3,920","3,225", , 
  EPS＜당기＞,381,-461,"-2,211",64,-342,, , 
펼치기 PBR,1.10,1.43,1.49,1.00,1.16,,15.62, 
  보통주수정주가(기말)＜당기＞,"6,970","8,780","5,750","3,870","3,920","3,225", , 
  BPS＜당기＞,"6,341","6,125","3,848","3,874","3,394",, , 
펼치기 PCR,12.53,-18.26,-7.85,40.21,-11.41,,-128.37, 
  보통주수정주가(기말)＜당기＞,"6,970","8,780","5,750","3,870","3,920","3,225", , 
  CPS＜당기＞,556,-481,-732,96,-344,, , 
펼치기 PSR,1.14,2.13,2.62,2.90,2.62,,-9.74, 
  보통주수정주가(기말)＜당기＞,"6,970","8,780","5,750","3,870","3,920","3,225", , 
  SPS＜당기＞,"6,097","4,125","2,195","1,333","1,496",, , 
펼치기 EV/EBITDA,8.60,-35.60,-6.01,23.59,-13.05,,-155.33, 
  EV＜당기＞,755.9,"1,047.2",750.0,499.9,549.8,, , 
  EBITDA＜당기＞,87.9,-29.4,-124.8,21.2,-42.1,, , 
펼치기 DPS,,,,,,, , 
  현금DPS,,,,,,, , 
  주식DPS,,,,,,, , 
  현금배당수익률,,,,,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
