항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,-970,-359,-57,88,419,,375, 
  당기순이익(지배)＜당기＞,-63.4,-23.5,-3.7,5.8,27.4,, , 
  보통주수정평균발행주식수＜당기＞,"6,530,014","6,530,014","6,530,014","6,530,014","6,530,014",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 BPS,"4,171","3,806","3,747","3,837","4,265",,11, 
  자본총계(지배)＜당기＞,267.1,243.6,239.9,245.7,273.1,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"6,402,336","6,402,336","6,402,336","6,402,336","6,402,336",, , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,, , 
펼치기 CPS,"-1,059",-140,-300,-312,463,,248, 
  영업활동현금흐름＜당기＞,-69.2,-9.1,-19.6,-20.4,30.2,, , 
  보통주수정평균발행주식수＜당기＞,"6,530,014","6,530,014","6,530,014","6,530,014","6,530,014",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 SPS,"2,063","2,425","1,893","1,813","2,491",,37, 
  매출액＜당기＞,134.7,158.3,123.6,118.4,162.6,, , 
  보통주수정평균발행주식수＜당기＞,"6,530,014","6,530,014","6,530,014","6,530,014","6,530,014",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 PER,N/A,N/A,N/A,62.15,18.22,,-70.69, 
  보통주수정주가(기말)＜당기＞,"4,990","4,160","4,245","5,490","7,640","8,100", , 
  EPS＜당기＞,-970,-359,-57,88,419,, , 
펼치기 PBR,1.20,1.09,1.13,1.43,1.79,,25.21, 
  보통주수정주가(기말)＜당기＞,"4,990","4,160","4,245","5,490","7,640","8,100", , 
  BPS＜당기＞,"4,171","3,806","3,747","3,837","4,265",, , 
펼치기 PCR,-4.71,-29.71,-14.15,-17.61,16.51,,193.72, 
  보통주수정주가(기말)＜당기＞,"4,990","4,160","4,245","5,490","7,640","8,100", , 
  CPS＜당기＞,"-1,059",-140,-300,-312,463,, , 
펼치기 PSR,2.42,1.72,2.24,3.03,3.07,,1.28, 
  보통주수정주가(기말)＜당기＞,"4,990","4,160","4,245","5,490","7,640","8,100", , 
  SPS＜당기＞,"2,063","2,425","1,893","1,813","2,491",, , 
펼치기 EV/EBITDA,-2.68,-5.64,976.74,23.84,11.30,,-52.60, 
  EV＜당기＞,156.1,105.4,127.0,200.1,312.3,, , 
  EBITDA＜당기＞,-58.3,-18.7,0.1,8.4,27.6,, , 
펼치기 DPS,,,,,,, , 
  현금DPS,,,,,,, , 
  주식DPS,,,,,,, , 
  현금배당수익률,,,,,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
