항목,"2017/12
(GAAP개별)","2018/12
(GAAP개별)","2019/12
(GAAP개별)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,-155,133,"1,254","2,670","1,059",,-60, 
  당기순이익(지배)＜당기＞,-5.1,4.3,41.1,87.5,36.4,, , 
  보통주수정평균발행주식수＜당기＞,"3,276,500","3,276,500","3,276,500","3,276,500","3,442,943","4,214,664", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,684,817,"2,074","4,600","10,080",,119, 
  자본총계(지배)＜당기＞,22.4,26.8,68.0,150.7,415.3,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"3,276,500","3,276,500","3,276,500","3,276,500","4,120,276","4,250,774", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,-289,201,648,"2,029",333,,-84, 
  영업활동현금흐름＜당기＞,-9.5,6.6,21.2,66.5,11.5,, , 
  보통주수정평균발행주식수＜당기＞,"3,276,500","3,276,500","3,276,500","3,276,500","3,442,943","4,214,664", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"3,687","5,188","12,041","24,178","20,801",,-14, 
  매출액＜당기＞,120.8,170.0,394.5,792.2,716.2,, , 
  보통주수정평균발행주식수＜당기＞,"3,276,500","3,276,500","3,276,500","3,276,500","3,442,943","4,214,664", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,,,,,16.72,, , 
  보통주수정주가(기말)＜당기＞,,,,,"17,700","28,050", , 
  EPS＜당기＞,-155,133,"1,254","2,670","1,059",, , 
펼치기 PBR,0.00,0.00,0.00,0.00,1.76,, , 
  보통주수정주가(기말)＜당기＞,,,,,"17,700","28,050", , 
  BPS＜당기＞,684,817,"2,074","4,600","10,080",, , 
펼치기 PCR,,,,,53.20,, , 
  보통주수정주가(기말)＜당기＞,,,,,"17,700","28,050", , 
  CPS＜당기＞,-289,201,648,"2,029",333,, , 
펼치기 PSR,,,,,0.85,, , 
  보통주수정주가(기말)＜당기＞,,,,,"17,700","28,050", , 
  SPS＜당기＞,"3,687","5,188","12,041","24,178","20,801",, , 
펼치기 EV/EBITDA,,,,,6.70,, , 
  EV＜당기＞,,,,,427.8,, , 
  EBITDA＜당기＞,-9.4,3.7,41.0,123.9,63.8,, , 
펼치기 DPS,0,0,91,183,65,,-64, 
  현금DPS,0,0,91,183,65,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,,,,,0.37,, , 
  현금배당성향(%),0.00,0.00,7.25,6.86,7.35,,0.49, 
