항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)",2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,194,11,-243,-11,"1,094",,"10,209", 
  당기순이익(지배)＜당기＞,41.3,2.7,-61.9,-2.8,279.1,, , 
  보통주수정평균발행주식수＜당기＞,"21,344,594","25,503,174","25,503,174","25,503,174","25,503,174","29,215,086", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 BPS,"4,710","4,687","4,425","4,358","5,454",,25, 
  자본총계(지배)＜당기＞,"1,201.3","1,195.4","1,119.7","1,053.6","1,305.4",, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"25,503,174","25,503,174","25,302,263","24,174,510","23,931,804","27,780,804", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,-91,487,314,"1,793","1,522",,-15, 
  영업활동현금흐름＜당기＞,-19.4,124.3,80.1,457.2,388.2,, , 
  보통주수정평균발행주식수＜당기＞,"21,344,594","25,503,174","25,503,174","25,503,174","25,503,174","29,215,086", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 SPS,"6,070","6,689","4,795","5,738","6,422",,12, 
  매출액＜당기＞,"1,295.7","1,706.0","1,223.0","1,463.3","1,637.7",, , 
  보통주수정평균발행주식수＜당기＞,"21,344,594","25,503,174","25,503,174","25,503,174","25,503,174","29,215,086", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 PER,34.14,372.44,N/A,N/A,9.64,,101.47, 
  보통주수정주가(기말)＜당기＞,"6,609","3,944","3,381","7,100","10,550","9,260", , 
  EPS＜당기＞,194,11,-243,-11,"1,094",, , 
펼치기 PBR,1.40,0.84,0.76,1.63,1.93,,18.73, 
  보통주수정주가(기말)＜당기＞,"6,609","3,944","3,381","7,100","10,550","9,260", , 
  BPS＜당기＞,"4,710","4,687","4,425","4,358","5,454",, , 
펼치기 PCR,-72.68,8.09,10.77,3.96,6.93,,75.03, 
  보통주수정주가(기말)＜당기＞,"6,609","3,944","3,381","7,100","10,550","9,260", , 
  CPS＜당기＞,-91,487,314,"1,793","1,522",, , 
펼치기 PSR,1.09,0.59,0.71,1.24,1.64,,32.76, 
  보통주수정주가(기말)＜당기＞,"6,609","3,944","3,381","7,100","10,550","9,260", , 
  SPS＜당기＞,"6,070","6,689","4,795","5,738","6,422",, , 
펼치기 EV/EBITDA,11.27,11.50,18.00,11.83,6.34,,-46.39, 
  EV＜당기＞,"2,566.8","1,993.1","1,745.7","2,305.1","2,938.2",, , 
  EBITDA＜당기＞,227.8,173.3,97.0,194.8,463.2,, , 
펼치기 DPS,0,0,0,0,,, , 
  현금DPS,0,0,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
