항목,"2017/12
(GAAP개별)","2018/12
(GAAP개별)","2019/12
(GAAP개별)",2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,86,-57,92,345,502,747,45,49
  당기순이익(지배)＜당기＞,9.3,-6.3,9.7,35.6,54.1,83.0, , 
  보통주수정평균발행주식수＜당기＞,"9,630,000","9,630,000","9,630,000","9,834,768","10,790,874","11,114,394", , 
  우선주수정평균발행주식수＜당기＞,"1,264,778","1,288,888","845,053","477,171",0,0, , 
펼치기 BPS,"1,308","1,273",984,"1,434","3,833","4,442",167,16
  자본총계(지배)＜당기＞,140.9,135.7,90.9,139.5,416.0,498.0, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"9,482,364","9,370,364","8,613,896","9,734,404","10,852,120","11,212,120", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,"1,288,888","1,288,888","622,222",0,0,0, , 
펼치기 CPS,137,603,397,560,433,985,-23,128
  영업활동현금흐름＜당기＞,14.9,65.9,41.6,57.7,46.7,114.0, , 
  보통주수정평균발행주식수＜당기＞,"9,630,000","9,630,000","9,630,000","9,834,768","10,790,874","11,114,394", , 
  우선주수정평균발행주식수＜당기＞,"1,264,778","1,288,888","845,053","477,171",0,0, , 
펼치기 SPS,"2,635","2,596","2,749","4,349","4,357","5,407",0,24
  매출액＜당기＞,287.1,283.5,287.9,448.5,470.1,601.0, , 
  보통주수정평균발행주식수＜당기＞,"9,630,000","9,630,000","9,630,000","9,834,768","10,790,874","11,114,394", , 
  우선주수정평균발행주식수＜당기＞,"1,264,778","1,288,888","845,053","477,171",0,0, , 
펼치기 PER,15.75,N/A,16.26,17.10,40.57,21.96,137.31,-45.87
  보통주수정주가(기말)＜당기＞,"1,350","1,070","1,500","5,900","20,350","16,400", , 
  EPS＜당기＞,86,-57,92,345,502,747, , 
펼치기 PBR,1.03,0.84,1.52,4.12,5.31,3.69,28.99,-30.45
  보통주수정주가(기말)＜당기＞,"1,350","1,070","1,500","5,900","20,350","16,400", , 
  BPS＜당기＞,"1,308","1,273",984,"1,434","3,833","4,442", , 
펼치기 PCR,9.87,1.77,3.78,10.54,47.01,16.65,345.81,-64.59
  보통주수정주가(기말)＜당기＞,"1,350","1,070","1,500","5,900","20,350","16,400", , 
  CPS＜당기＞,137,603,397,560,433,985, , 
펼치기 PSR,0.51,0.41,0.55,1.36,4.67,3.03,244.31,-35.07
  보통주수정주가(기말)＜당기＞,"1,350","1,070","1,500","5,900","20,350","16,400", , 
  SPS＜당기＞,"2,635","2,596","2,749","4,349","4,357","5,407", , 
펼치기 EV/EBITDA,10.70,15.97,7.26,7.33,21.41,13.62,192.00,-36.38
  EV＜당기＞,212.7,163.1,239.1,682.9,"2,014.7","1,764.3", , 
  EBITDA＜당기＞,19.9,10.2,32.9,93.1,94.1,129.5, , 
펼치기 DPS,0,0,0,0,0,, , 
  현금DPS,0,0,0,0,0,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  현금배당성향(%),0.00,,,0.00,,, , 
