항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)",2019/12,2020/12,"2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,2,-103,-847,-363,-476,, , 
  당기순이익(지배)＜당기＞,0.2,-9.6,-81.9,-36.6,-54.3,, , 
  보통주수정평균발행주식수＜당기＞,"9,381,540","9,381,540","9,671,760","10,098,064","11,404,373","11,443,863", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,999,"1,130",955,"1,141",539,, , 
  자본총계(지배)＜당기＞,93.7,106.0,95.9,123.3,61.6,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"9,381,540","9,381,540","10,046,564","10,799,645","11,443,863","11,443,863", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,-106,24,-315,621,458,, , 
  영업활동현금흐름＜당기＞,-10.0,2.3,-30.5,62.7,52.3,, , 
  보통주수정평균발행주식수＜당기＞,"9,381,540","9,381,540","9,671,760","10,098,064","11,404,373","11,443,863", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,359,447,651,"3,301",420,, , 
  매출액＜당기＞,33.7,41.9,63.0,333.3,47.8,, , 
  보통주수정평균발행주식수＜당기＞,"9,381,540","9,381,540","9,671,760","10,098,064","11,404,373","11,443,863", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,"3,729.19",N/A,N/A,N/A,N/A,, , 
  보통주수정주가(기말)＜당기＞,"6,236","5,350","4,845","6,600","2,205","2,205", , 
  EPS＜당기＞,2,-103,-847,-363,-476,, , 
펼치기 PBR,6.24,4.74,5.07,5.78,4.09,, , 
  보통주수정주가(기말)＜당기＞,"6,236","5,350","4,845","6,600","2,205","2,205", , 
  BPS＜당기＞,999,"1,130",955,"1,141",539,, , 
펼치기 PCR,-58.62,218.42,-15.37,10.64,4.81,, , 
  보통주수정주가(기말)＜당기＞,"6,236","5,350","4,845","6,600","2,205","2,205", , 
  CPS＜당기＞,-106,24,-315,621,458,, , 
펼치기 PSR,17.36,11.98,7.44,2.00,5.26,, , 
  보통주수정주가(기말)＜당기＞,"6,236","5,350","4,845","6,600","2,205","2,205", , 
  SPS＜당기＞,359,447,651,"3,301",420,, , 
펼치기 EV/EBITDA,240.10,-99.95,-19.65,10.00,-27.28,, , 
  EV＜당기＞,573.1,526.3,576.8,563.7,392.4,, , 
  EBITDA＜당기＞,2.4,-5.3,-29.4,56.3,-14.4,, , 
펼치기 DPS,0,0,0,,,, , 
  현금DPS,0,0,0,,,, , 
  주식DPS,0,0,0,,,, , 
  현금배당수익률,0.00,0.00,0.00,,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
