항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)",2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,-340,"-2,831",-815,"-1,249",-820,"-1,391", ,-70
  당기순이익(지배)＜당기＞,-34.7,-375.8,-135.2,-253.5,-170.4,-293.0, , 
  보통주수정평균발행주식수＜당기＞,"10,214,000","13,272,488","16,590,996","20,295,375","20,474,446","20,953,944", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,"315,985","114,555", , 
펼치기 BPS,"-1,008",295,"3,897","2,740","2,089",672, ,-68
  자본총계(지배)＜당기＞,-102.9,45.8,786.9,557.4,435.4,142.0, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"10,214,000","15,556,978","20,194,842","20,342,842","20,516,342","21,047,352", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,"328,588","82,146", , 
펼치기 CPS,-263,-612,-916,"-1,152","-1,210","-1,324", ,-9
  영업활동현금흐름＜당기＞,-26.9,-81.2,-152.0,-233.8,-251.5,-135.0, , 
  보통주수정평균발행주식수＜당기＞,"10,214,000","13,272,488","16,590,996","20,295,375","20,474,446","20,953,944", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,"315,985","114,555", , 
펼치기 SPS,0,0,0,0,0,0, , 
  매출액＜당기＞,,,,,,0.0, , 
  보통주수정평균발행주식수＜당기＞,"10,214,000","13,272,488","16,590,996","20,295,375","20,474,446","20,953,944", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,"315,985","114,555", , 
펼치기 PER,,,N/A,N/A,N/A,N/A, ,71.34
  보통주수정주가(기말)＜당기＞,,,"22,125","117,700","58,600","28,500", , 
  EPS＜당기＞,-340,"-2,831",-815,"-1,249",-820,"-1,391", , 
펼치기 PBR,0.00,0.00,5.68,42.95,28.05,42.41, ,51.17
  보통주수정주가(기말)＜당기＞,,,"22,125","117,700","58,600","28,500", , 
  BPS＜당기＞,"-1,008",295,"3,897","2,740","2,089",672, , 
펼치기 PCR,,,-24.14,-102.16,-48.44,-21.52, ,55.57
  보통주수정주가(기말)＜당기＞,,,"22,125","117,700","58,600","28,500", , 
  CPS＜당기＞,-263,-612,-916,"-1,152","-1,210","-1,324", , 
펼치기 PSR,,,,,,, , 
  보통주수정주가(기말)＜당기＞,,,"22,125","117,700","58,600","28,500", , 
  SPS＜당기＞,0,0,0,0,0,0, , 
펼치기 EV/EBITDA,,,-30.24,-89.09,-38.96,-18.04, ,53.68
  EV＜당기＞,,,"3,752.5","23,487.1","10,805.2","5,936.6", , 
  EBITDA＜당기＞,-30.6,-99.7,-124.1,-263.6,-277.4,-329.0, , 
펼치기 DPS,0,0,0,0,0,, , 
  현금DPS,0,0,0,0,0,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,,,0.00,0.00,0.00,0.00, ,0.00
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
