항목,"2017/12
(GAAP개별)","2018/12
(GAAP개별)","2019/12
(GAAP개별)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,111,184,501,595,16,587,-97,"3,621"
  당기순이익(지배)＜당기＞,5.4,9.6,30.0,35.5,0.9,46.0, , 
  보통주수정평균발행주식수＜당기＞,"4,220,000","4,220,000","4,220,000","4,389,672","5,940,000","7,832,273", , 
  우선주수정평균발행주식수＜당기＞,"660,000","971,025","1,760,000","1,580,273",0,0, , 
펼치기 BPS,"1,645","2,338","2,839","3,303","3,346",,1, 
  자본총계(지배)＜당기＞,80.3,139.8,169.8,196.2,198.8,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"4,220,000","4,220,000","4,220,000","5,940,000","5,940,000","7,965,454", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,"660,000","1,760,000","1,760,000",0,0,0, , 
펼치기 CPS,-110,200,651,827,-365,,-144, 
  영업활동현금흐름＜당기＞,-5.4,10.4,38.9,49.4,-21.7,, , 
  보통주수정평균발행주식수＜당기＞,"4,220,000","4,220,000","4,220,000","4,389,672","5,940,000","7,832,273", , 
  우선주수정평균발행주식수＜당기＞,"660,000","971,025","1,760,000","1,580,273",0,0, , 
펼치기 SPS,"1,915","2,779","3,013","2,571","2,988","4,035",16,35
  매출액＜당기＞,93.5,144.3,180.2,153.5,177.5,316.0, , 
  보통주수정평균발행주식수＜당기＞,"4,220,000","4,220,000","4,220,000","4,389,672","5,940,000","7,832,273", , 
  우선주수정평균발행주식수＜당기＞,"660,000","971,025","1,760,000","1,580,273",0,0, , 
펼치기 PER,,,,,,28.60, , 
  보통주수정주가(기말)＜당기＞,,,,,,"16,800", , 
  EPS＜당기＞,111,184,501,595,16,587, , 
펼치기 PBR,0.00,0.00,0.00,0.00,0.00,, , 
  보통주수정주가(기말)＜당기＞,,,,,,"16,800", , 
  BPS＜당기＞,"1,645","2,338","2,839","3,303","3,346",, , 
펼치기 PCR,,,,,,, , 
  보통주수정주가(기말)＜당기＞,,,,,,"16,800", , 
  CPS＜당기＞,-110,200,651,827,-365,, , 
펼치기 PSR,,,,,,4.16, , 
  보통주수정주가(기말)＜당기＞,,,,,,"16,800", , 
  SPS＜당기＞,"1,915","2,779","3,013","2,571","2,988","4,035", , 
펼치기 EV/EBITDA,,,,,,, , 
  EV＜당기＞,,,,,,, , 
  EBITDA＜당기＞,10.3,20.9,41.4,32.8,6.9,, , 
펼치기 DPS,0,0,0,0,,, , 
  현금DPS,0,0,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,,,,,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
