항목,,,,"2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,,,,,-57,, , 
  당기순이익(지배)＜당기＞,,,,,-0.1,, , 
  보통주수정평균발행주식수＜당기＞,,,,,"108,356","3,050,000", , 
  우선주수정평균발행주식수＜당기＞,,,,,0,0, , 
펼치기 BPS,,,,,"1,941",, , 
  자본총계(지배)＜당기＞,,,,,59.2,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,,,,0,"3,050,000","3,050,000", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,,,,0,0,0, , 
펼치기 CPS,,,,,-40,, , 
  영업활동현금흐름＜당기＞,,,,,-0.0,, , 
  보통주수정평균발행주식수＜당기＞,,,,,"108,356","3,050,000", , 
  우선주수정평균발행주식수＜당기＞,,,,,0,0, , 
펼치기 SPS,,,,,0,, , 
  매출액＜당기＞,,,,,0.0,, , 
  보통주수정평균발행주식수＜당기＞,,,,,"108,356","3,050,000", , 
  우선주수정평균발행주식수＜당기＞,,,,,0,0, , 
펼치기 PER,,,,,N/A,, , 
  보통주수정주가(기말)＜당기＞,,,,,"2,885","2,365", , 
  EPS＜당기＞,,,,,-57,, , 
펼치기 PBR,,,,,1.49,, , 
  보통주수정주가(기말)＜당기＞,,,,,"2,885","2,365", , 
  BPS＜당기＞,,,,,"1,941",, , 
펼치기 PCR,,,,,-72.88,, , 
  보통주수정주가(기말)＜당기＞,,,,,"2,885","2,365", , 
  CPS＜당기＞,,,,,-40,, , 
펼치기 PSR,,,,,,, , 
  보통주수정주가(기말)＜당기＞,,,,,"2,885","2,365", , 
  SPS＜당기＞,,,,,0,, , 
펼치기 EV/EBITDA,,,,,"-1,953.29",, , 
  EV＜당기＞,,,,,88.7,, , 
  EBITDA＜당기＞,,,,,-0.0,, , 
펼치기 DPS,,,,,,, , 
  현금DPS,,,,,,, , 
  주식DPS,,,,,,, , 
  현금배당수익률,,,,,,, , 
  현금배당성향(%),,,,,,, , 
