항목,2017/12,2018/12,2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,116,79,154,183,246,,35, 
  당기순이익(지배)＜당기＞,27.9,19.2,37.2,44.1,59.5,, , 
  보통주수정평균발행주식수＜당기＞,"24,154,730","24,154,730","24,154,730","24,154,730","24,154,730","24,154,730", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"1,484","1,546","1,638","1,785","2,012",,13, 
  자본총계(지배)＜당기＞,338.1,353.0,362.6,393.6,444.0,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"22,793,492","22,834,192","22,143,944","22,052,359","22,064,059","22,076,159", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,213,190,190,282,350,,24, 
  영업활동현금흐름＜당기＞,51.4,45.9,45.9,68.0,84.6,, , 
  보통주수정평균발행주식수＜당기＞,"24,154,730","24,154,730","24,154,730","24,154,730","24,154,730","24,154,730", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"1,509","1,745","1,595","1,744","2,055",,18, 
  매출액＜당기＞,364.5,421.4,385.2,421.3,496.3,, , 
  보통주수정평균발행주식수＜당기＞,"24,154,730","24,154,730","24,154,730","24,154,730","24,154,730","24,154,730", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,26.00,32.62,14.95,14.84,15.58,,4.97, 
  보통주수정주가(기말)＜당기＞,"3,005","2,590","2,305","2,710","3,835","3,495", , 
  EPS＜당기＞,116,79,154,183,246,, , 
펼치기 PBR,2.03,1.68,1.41,1.52,1.91,,25.50, 
  보통주수정주가(기말)＜당기＞,"3,005","2,590","2,305","2,710","3,835","3,495", , 
  BPS＜당기＞,"1,484","1,546","1,638","1,785","2,012",, , 
펼치기 PCR,14.12,13.63,12.14,9.62,10.95,,13.81, 
  보통주수정주가(기말)＜당기＞,"3,005","2,590","2,305","2,710","3,835","3,495", , 
  CPS＜당기＞,213,190,190,282,350,, , 
펼치기 PSR,1.99,1.48,1.45,1.55,1.87,,20.12, 
  보통주수정주가(기말)＜당기＞,"3,005","2,590","2,305","2,710","3,835","3,495", , 
  SPS＜당기＞,"1,509","1,745","1,595","1,744","2,055",, , 
펼치기 EV/EBITDA,10.31,9.26,7.76,8.02,8.84,,10.23, 
  EV＜당기＞,657.5,518.7,459.7,524.4,730.4,, , 
  EBITDA＜당기＞,63.8,56.0,59.2,65.4,82.6,, , 
펼치기 DPS,30,30,60,60,80,,33, 
  현금DPS,30,30,60,60,80,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,1.00,1.16,2.60,2.21,2.09,,-0.13, 
  현금배당성향(%),24.49,35.72,35.68,29.99,29.68,,-0.31, 
