항목,"2017/03
(IFRS별도)","2018/03
(IFRS별도)","2019/03
(IFRS별도)","2020/03
(IFRS별도)",2021/03,"2022/03(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,"3,567","-67,283","-330,449","-11,292",-287,, , 
  당기순이익(지배)＜당기＞,11.0,-223.4,"-1,163.9",-44.9,-47.9,, , 
  보통주수정평균발행주식수＜당기＞,"307,382","332,030","352,210","397,714","16,722,108","24,375,259", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"210,325","146,137","-250,250","-261,541",185,, , 
  자본총계(지배)＜당기＞,683.5,486.1,-995.3,"-1,040.2",41.5,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"324,982","332,649","397,714","397,714","22,420,174","25,160,874", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,"28,071","-12,119","-35,424","2,357","-1,128",, , 
  영업활동현금흐름＜당기＞,86.3,-40.2,-124.8,9.4,-188.6,, , 
  보통주수정평균발행주식수＜당기＞,"307,382","332,030","352,210","397,714","16,722,108","24,375,259", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"234,476","226,767","88,772","18,707",219,, , 
  매출액＜당기＞,720.7,752.9,312.7,74.4,36.6,, , 
  보통주수정평균발행주식수＜당기＞,"307,382","332,030","352,210","397,714","16,722,108","24,375,259", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,4.16,N/A,N/A,N/A,N/A,, , 
  보통주수정주가(기말)＜당기＞,"14,821","12,863","3,875","3,875","3,875","3,875", , 
  EPS＜당기＞,"3,567","-67,283","-330,449","-11,292",-287,, , 
펼치기 PBR,0.07,0.09,N/A,N/A,20.94,, , 
  보통주수정주가(기말)＜당기＞,"14,821","12,863","3,875","3,875","3,875","3,875", , 
  BPS＜당기＞,"210,325","146,137","-250,250","-261,541",185,, , 
펼치기 PCR,0.53,-1.06,-0.11,1.64,-3.44,, , 
  보통주수정주가(기말)＜당기＞,"14,821","12,863","3,875","3,875","3,875","3,875", , 
  CPS＜당기＞,"28,071","-12,119","-35,424","2,357","-1,128",, , 
펼치기 PSR,0.06,0.06,0.04,0.21,17.72,, , 
  보통주수정주가(기말)＜당기＞,"14,821","12,863","3,875","3,875","3,875","3,875", , 
  SPS＜당기＞,"234,476","226,767","88,772","18,707",219,, , 
펼치기 EV/EBITDA,29.15,-26.72,-3.67,-20.21,-5.49,, , 
  EV＜당기＞,999.7,"1,018.8",735.8,745.8,271.5,, , 
  EBITDA＜당기＞,34.3,-38.1,-200.3,-36.9,-49.4,, , 
펼치기 DPS,0,0,0,0,0,, , 
  현금DPS,0,0,0,0,0,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,0.00,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
