항목,,"2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,,,5,6,-3,,-144, 
  당기순이익(지배)＜당기＞,,,0.1,0.4,-0.2,, , 
  보통주수정평균발행주식수＜당기＞,,,"2,584,526","6,482,000","6,482,000","17,412,974", , 
  우선주수정평균발행주식수＜당기＞,,,0,0,0,, , 
펼치기 BPS,,,"1,943","1,949","1,946",,-0, 
  자본총계(지배)＜당기＞,,,125.9,126.3,126.1,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,,0,"6,482,000","6,482,000","6,482,000","31,894,775", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,,0,0,0,0,, , 
펼치기 CPS,,,-8,-5,-3,,37, 
  영업활동현금흐름＜당기＞,,,-0.2,-0.3,-0.2,, , 
  보통주수정평균발행주식수＜당기＞,,,"2,584,526","6,482,000","6,482,000","17,412,974", , 
  우선주수정평균발행주식수＜당기＞,,,0,0,0,, , 
펼치기 SPS,,,0,0,0,, , 
  매출액＜당기＞,,,0.0,0.0,0.0,, , 
  보통주수정평균발행주식수＜당기＞,,,"2,584,526","6,482,000","6,482,000","17,412,974", , 
  우선주수정평균발행주식수＜당기＞,,,0,0,0,, , 
펼치기 PER,,,420.05,322.49,N/A,,-326.15, 
  보통주수정주가(기말)＜당기＞,,,"2,035","2,060","2,050","2,415", , 
  EPS＜당기＞,,,5,6,-3,, , 
펼치기 PBR,,,1.04,1.06,1.05,,-0.34, 
  보통주수정주가(기말)＜당기＞,,,"2,035","2,060","2,050","2,415", , 
  BPS＜당기＞,,,"1,943","1,949","1,946",, , 
펼치기 PCR,,,-248.27,-398.38,-629.20,,-57.94, 
  보통주수정주가(기말)＜당기＞,,,"2,035","2,060","2,050","2,415", , 
  CPS＜당기＞,,,-8,-5,-3,, , 
펼치기 PSR,,,,,,, , 
  보통주수정주가(기말)＜당기＞,,,"2,035","2,060","2,050","2,415", , 
  SPS＜당기＞,,,0,0,0,, , 
펼치기 EV/EBITDA,,,-423.89,-273.39,-255.39,,6.58, 
  EV＜당기＞,,,128.8,131.5,131.5,, , 
  EBITDA＜당기＞,,,-0.3,-0.5,-0.5,, , 
펼치기 DPS,,,0,0,0,, , 
  현금DPS,,,0,0,0,, , 
  주식DPS,,,0,0,0,, , 
  현금배당수익률,,,0.00,0.00,0.00,,0.00, 
  현금배당성향(%),,,0.00,0.00,,, , 
