항목,"2017/12
(IFRS별도)",2018/12,2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,-273,-365,-530,-77,-78,,-1, 
  당기순이익(지배)＜당기＞,-41.9,-66.3,-127.9,-20.6,-22.6,, , 
  보통주수정평균발행주식수＜당기＞,"15,341,955","18,174,643","24,124,777","26,691,579","28,826,451","28,889,293", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"1,441","1,424","1,050","1,082","1,078",,-0, 
  자본총계(지배)＜당기＞,230.4,265.1,272.7,298.5,311.4,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"15,989,855","18,617,620","25,964,891","27,591,276","28,887,171","28,887,171", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,-100,-205,-77,92,142,,54, 
  영업활동현금흐름＜당기＞,-15.4,-37.2,-18.5,24.7,40.9,, , 
  보통주수정평균발행주식수＜당기＞,"15,341,955","18,174,643","24,124,777","26,691,579","28,826,451","28,889,293", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"1,495","1,499","1,350","1,481","1,365",,-8, 
  매출액＜당기＞,229.3,272.4,325.6,395.2,393.5,, , 
  보통주수정평균발행주식수＜당기＞,"15,341,955","18,174,643","24,124,777","26,691,579","28,826,451","28,889,293", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,N/A,N/A,N/A,N/A,N/A,,27.91, 
  보통주수정주가(기말)＜당기＞,"3,920","1,860","2,450","2,875","2,100","2,095", , 
  EPS＜당기＞,-273,-365,-530,-77,-78,, , 
펼치기 PBR,2.72,1.31,2.33,2.66,1.95,,-26.72, 
  보통주수정주가(기말)＜당기＞,"3,920","1,860","2,450","2,875","2,100","2,095", , 
  BPS＜당기＞,"1,441","1,424","1,050","1,082","1,078",, , 
펼치기 PCR,-39.06,-9.08,-31.97,31.09,14.79,,-52.43, 
  보통주수정주가(기말)＜당기＞,"3,920","1,860","2,450","2,875","2,100","2,095", , 
  CPS＜당기＞,-100,-205,-77,92,142,, , 
펼치기 PSR,2.62,1.24,1.82,1.94,1.54,,-20.76, 
  보통주수정주가(기말)＜당기＞,"3,920","1,860","2,450","2,875","2,100","2,095", , 
  SPS＜당기＞,"1,495","1,499","1,350","1,481","1,365",, , 
펼치기 EV/EBITDA,-52.90,43.90,16.22,31.64,26.39,,-16.60, 
  EV＜당기＞,"1,015.0",601.8,756.6,888.1,658.5,, , 
  EBITDA＜당기＞,-19.2,13.7,46.6,28.1,25.0,, , 
펼치기 DPS,0,0,0,,,, , 
  현금DPS,0,0,0,,,, , 
  주식DPS,0,0,0,,,, , 
  현금배당수익률,0.00,0.00,0.00,,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
