항목,"2017/12
(GAAP개별)","2018/12
(GAAP개별)","2019/12
(GAAP개별)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,"1,089","1,092","1,602","2,424","2,308",,-5, 
  당기순이익(지배)＜당기＞,33.1,33.2,48.6,73.6,76.9,, , 
  보통주수정평균발행주식수＜당기＞,"3,036,420","3,036,420","3,036,420","3,036,420","3,333,510","4,059,420", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"5,928","6,964","8,518","11,134","16,986",,53, 
  자본총계(지배)＜당기＞,180.0,211.5,258.6,338.1,689.5,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"3,036,420","3,036,420","3,036,420","3,036,420","4,059,420","4,059,420", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,659,"1,894","2,527","2,330","2,787",,20, 
  영업활동현금흐름＜당기＞,20.0,57.5,76.7,70.7,92.9,, , 
  보통주수정평균발행주식수＜당기＞,"3,036,420","3,036,420","3,036,420","3,036,420","3,333,510","4,059,420", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"11,994","12,363","15,250","18,620","18,420",,-1, 
  매출액＜당기＞,364.2,375.4,463.0,565.4,614.0,, , 
  보통주수정평균발행주식수＜당기＞,"3,036,420","3,036,420","3,036,420","3,036,420","3,333,510","4,059,420", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,4.12,33.07,8.78,12.38,8.30,,-32.97, 
  보통주수정주가(기말)＜당기＞,"4,485","36,130","14,060","30,000","19,150","19,450", , 
  EPS＜당기＞,"1,089","1,092","1,602","2,424","2,308",, , 
펼치기 PBR,0.76,5.19,1.65,2.69,1.13,,-58.16, 
  보통주수정주가(기말)＜당기＞,"4,485","36,130","14,060","30,000","19,150","19,450", , 
  BPS＜당기＞,"5,928","6,964","8,518","11,134","16,986",, , 
펼치기 PCR,6.80,19.08,5.56,12.88,6.87,,-46.64, 
  보통주수정주가(기말)＜당기＞,"4,485","36,130","14,060","30,000","19,150","19,450", , 
  CPS＜당기＞,659,"1,894","2,527","2,330","2,787",, , 
펼치기 PSR,0.37,2.92,0.92,1.61,1.04,,-35.47, 
  보통주수정주가(기말)＜당기＞,"4,485","36,130","14,060","30,000","19,150","19,450", , 
  SPS＜당기＞,"11,994","12,363","15,250","18,620","18,420",, , 
펼치기 EV/EBITDA,2.35,18.29,3.97,6.85,2.35,,-65.69, 
  EV＜당기＞,111.2,"1,027.7",312.6,731.0,251.2,, , 
  EBITDA＜당기＞,47.4,56.2,78.7,106.7,106.8,, , 
펼치기 DPS,50,50,100,100,150,,50, 
  현금DPS,50,50,100,100,150,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,1.11,0.14,0.71,0.33,0.78,,0.45, 
  현금배당성향(%),4.59,4.58,6.24,4.13,7.91,,3.79, 
