항목,2017/12,2018/12,2019/12,"2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,76,95,39,51,30,,-40, 
  당기순이익(지배)＜당기＞,21.5,29.7,12.2,15.8,9.5,, , 
  보통주수정평균발행주식수＜당기＞,"28,424,040","31,301,281","31,301,281","31,301,281","31,301,281",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 BPS,"1,575","1,683","1,728","1,755","1,786",,2, 
  자본총계(지배)＜당기＞,487.3,516.1,529.8,538.2,547.7,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"30,941,411","30,667,733","30,667,733","30,667,733","30,667,733",, , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,, , 
펼치기 CPS,198,51,77,38,76,,100, 
  영업활동현금흐름＜당기＞,56.3,16.0,24.1,11.9,23.7,, , 
  보통주수정평균발행주식수＜당기＞,"28,424,040","31,301,281","31,301,281","31,301,281","31,301,281",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 SPS,"1,497","1,233","1,197","1,025","1,049",,2, 
  매출액＜당기＞,425.4,385.9,374.7,320.9,328.5,, , 
  보통주수정평균발행주식수＜당기＞,"28,424,040","31,301,281","31,301,281","31,301,281","31,301,281",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 PER,24.91,17.22,34.28,42.74,68.46,,60.17, 
  보통주수정주가(기말)＜당기＞,"1,885","1,635","1,335","2,160","2,085","1,990", , 
  EPS＜당기＞,76,95,39,51,30,, , 
펼치기 PBR,1.20,0.97,0.77,1.23,1.17,,-5.15, 
  보통주수정주가(기말)＜당기＞,"1,885","1,635","1,335","2,160","2,085","1,990", , 
  BPS＜당기＞,"1,575","1,683","1,728","1,755","1,786",, , 
펼치기 PCR,9.52,32.04,17.34,56.94,27.50,,-51.71, 
  보통주수정주가(기말)＜당기＞,"1,885","1,635","1,335","2,160","2,085","1,990", , 
  CPS＜당기＞,198,51,77,38,76,, , 
펼치기 PSR,1.26,1.33,1.12,2.11,1.99,,-5.71, 
  보통주수정주가(기말)＜당기＞,"1,885","1,635","1,335","2,160","2,085","1,990", , 
  SPS＜당기＞,"1,497","1,233","1,197","1,025","1,049",, , 
펼치기 EV/EBITDA,14.27,26.85,21.29,21.32,20.78,,-2.54, 
  EV＜당기＞,763.6,721.2,622.8,767.5,737.6,, , 
  EBITDA＜당기＞,53.5,26.9,29.3,36.0,35.5,, , 
펼치기 DPS,,,,,,, , 
  현금DPS,,,,,,, , 
  주식DPS,,,,,,, , 
  현금배당수익률,,,,,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
