항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)",2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,100,95,-216,394,"2,752",,598, 
  당기순이익(지배)＜당기＞,10.6,10.0,-22.8,41.6,314.2,, , 
  보통주수정평균발행주식수＜당기＞,"10,554,054","10,554,054","10,554,054","10,554,054","11,416,391","15,800,344", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"4,579","4,522","4,174","4,469","34,029",,661, 
  자본총계(지배)＜당기＞,483.2,477.2,440.5,471.7,"5,110.0",, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"10,554,054","10,554,054","10,554,054","10,554,054","15,016,852","15,016,852", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,271,47,21,862,"2,094",,143, 
  영업활동현금흐름＜당기＞,28.6,4.9,2.2,90.9,239.1,, , 
  보통주수정평균발행주식수＜당기＞,"10,554,054","10,554,054","10,554,054","10,554,054","11,416,391","15,800,344", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"4,339","4,796","5,486","8,107","14,743",,82, 
  매출액＜당기＞,458.0,506.2,579.0,855.6,"1,683.1",, , 
  보통주수정평균발행주식수＜당기＞,"10,554,054","10,554,054","10,554,054","10,554,054","11,416,391","15,800,344", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,499.12,483.43,N/A,233.66,36.95,,-84.19, 
  보통주수정주가(기말)＜당기＞,"50,000","45,900","37,900","92,100","101,700","58,400", , 
  EPS＜당기＞,100,95,-216,394,"2,752",, , 
펼치기 PBR,10.92,10.15,9.08,20.61,2.99,,-85.50, 
  보통주수정주가(기말)＜당기＞,"50,000","45,900","37,900","92,100","101,700","58,400", , 
  BPS＜당기＞,"4,579","4,522","4,174","4,469","34,029",, , 
펼치기 PCR,184.44,986.78,"1,793.37",106.88,48.56,,-54.56, 
  보통주수정주가(기말)＜당기＞,"50,000","45,900","37,900","92,100","101,700","58,400", , 
  CPS＜당기＞,271,47,21,862,"2,094",, , 
펼치기 PSR,11.52,9.57,6.91,11.36,6.90,,-39.28, 
  보통주수정주가(기말)＜당기＞,"50,000","45,900","37,900","92,100","101,700","58,400", , 
  SPS＜당기＞,"4,339","4,796","5,486","8,107","14,743",, , 
펼치기 EV/EBITDA,207.60,325.07,458.28,91.11,37.88,,-58.43, 
  EV＜당기＞,"4,891.2","4,561.4","3,937.0","9,670.4","16,567.6",, , 
  EBITDA＜당기＞,23.6,14.0,8.6,106.1,437.4,, , 
펼치기 DPS,50,35,25,100,,, , 
  현금DPS,50,35,25,100,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,0.10,0.08,0.07,0.11,,, , 
  현금배당성향(%),49.91,36.86,-11.59,25.37,,, , 
