항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)",2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,"-1,484","-1,454",-533,-459,-376,,18, 
  당기순이익(지배)＜당기＞,-315.4,-309.0,-117.6,-119.8,-133.7,, , 
  보통주수정평균발행주식수＜당기＞,"21,257,151","21,257,151","22,074,459","26,099,226","35,558,671","44,746,545", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"3,388","1,851","1,313","1,009",986,,-2, 
  자본총계(지배)＜당기＞,691.4,377.8,286.5,330.1,365.8,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"20,408,651","20,408,651","21,826,024","32,722,893","37,097,735","47,383,927", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,-312,-383,-20,358,-552,,-254, 
  영업활동현금흐름＜당기＞,-66.3,-81.4,-4.5,93.4,-196.2,, , 
  보통주수정평균발행주식수＜당기＞,"21,257,151","21,257,151","22,074,459","26,099,226","35,558,671","44,746,545", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"2,627","2,389","3,443","1,925",675,,-65, 
  매출액＜당기＞,558.4,507.9,759.9,502.4,240.0,, , 
  보통주수정평균발행주식수＜당기＞,"21,257,151","21,257,151","22,074,459","26,099,226","35,558,671","44,746,545", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,N/A,N/A,N/A,N/A,N/A,,-21.79, 
  보통주수정주가(기말)＜당기＞,"4,180","1,995","1,640","1,820","1,815","1,675", , 
  EPS＜당기＞,"-1,484","-1,454",-533,-459,-376,, , 
펼치기 PBR,1.23,1.08,1.25,1.80,1.84,,2.00, 
  보통주수정주가(기말)＜당기＞,"4,180","1,995","1,640","1,820","1,815","1,675", , 
  BPS＜당기＞,"3,388","1,851","1,313","1,009",986,, , 
펼치기 PCR,-13.41,-5.21,-80.03,5.09,-3.29,,-164.69, 
  보통주수정주가(기말)＜당기＞,"4,180","1,995","1,640","1,820","1,815","1,675", , 
  CPS＜당기＞,-312,-383,-20,358,-552,, , 
펼치기 PSR,1.59,0.84,0.48,0.95,2.69,,184.36, 
  보통주수정주가(기말)＜당기＞,"4,180","1,995","1,640","1,820","1,815","1,675", , 
  SPS＜당기＞,"2,627","2,389","3,443","1,925",675,, , 
펼치기 EV/EBITDA,-5.33,-5.88,13.61,39.56,55.27,,39.73, 
  EV＜당기＞,"1,315.1",708.2,652.7,723.4,868.8,, , 
  EBITDA＜당기＞,-246.9,-120.4,48.0,18.3,15.7,, , 
펼치기 DPS,0,0,0,0,0,, , 
  현금DPS,0,0,0,0,0,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,0.00,,0.00, 
  현금배당성향(%),0.00,0.00,0.00,0.00,0.00,,0.00, 
