항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)",2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,-25,-18,-102,-18,418,,"2,460", 
  당기순이익(지배)＜당기＞,-7.8,-5.8,-33.8,-6.2,150.3,, , 
  보통주수정평균발행주식수＜당기＞,"30,780,260","31,579,456","32,961,554","34,597,659","35,799,563","37,872,806", , 
  우선주수정평균발행주식수＜당기＞,"157,142","157,142","157,142","157,142","157,142","157,142", , 
펼치기 BPS,"1,107","1,097",975,"1,024","1,522",,49, 
  자본총계(지배)＜당기＞,342.3,360.8,328.9,368.0,562.2,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"30,780,260","32,729,359","33,575,801","35,775,801","36,797,734","38,022,985", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,"150,232","150,232","150,232","150,232","150,232","150,232", , 
펼치기 CPS,467,-543,"1,110",-208,499,,340, 
  영업활동현금흐름＜당기＞,144.4,-172.4,367.5,-72.2,179.3,, , 
  보통주수정평균발행주식수＜당기＞,"30,780,260","31,579,456","32,961,554","34,597,659","35,799,563","37,872,806", , 
  우선주수정평균발행주식수＜당기＞,"157,142","157,142","157,142","157,142","157,142","157,142", , 
펼치기 SPS,"4,607","4,210","2,868","2,052","2,573",,25, 
  매출액＜당기＞,"1,425.1","1,336.0",950.0,713.1,925.0,, , 
  보통주수정평균발행주식수＜당기＞,"30,780,260","31,579,456","32,961,554","34,597,659","35,799,563","37,872,806", , 
  우선주수정평균발행주식수＜당기＞,"157,142","157,142","157,142","157,142","157,142","157,142", , 
펼치기 PER,N/A,N/A,N/A,N/A,5.85,,105.19, 
  보통주수정주가(기말)＜당기＞,"1,755","1,245","2,405","1,995","2,445","2,530", , 
  EPS＜당기＞,-25,-18,-102,-18,418,, , 
펼치기 PBR,1.59,1.13,2.47,1.95,1.61,,-17.50, 
  보통주수정주가(기말)＜당기＞,"1,755","1,245","2,405","1,995","2,445","2,530", , 
  BPS＜당기＞,"1,107","1,097",975,"1,024","1,522",, , 
펼치기 PCR,3.76,-2.29,2.17,-9.61,4.90,,151.02, 
  보통주수정주가(기말)＜당기＞,"1,755","1,245","2,405","1,995","2,445","2,530", , 
  CPS＜당기＞,467,-543,"1,110",-208,499,, , 
펼치기 PSR,0.38,0.30,0.84,0.97,0.95,,-2.26, 
  보통주수정주가(기말)＜당기＞,"1,755","1,245","2,405","1,995","2,445","2,530", , 
  SPS＜당기＞,"4,607","4,210","2,868","2,052","2,573",, , 
펼치기 EV/EBITDA,60.83,32.05,77.02,9.56,2.57,,-73.08, 
  EV＜당기＞,455.8,566.7,466.6,466.7,581.7,, , 
  EBITDA＜당기＞,7.5,17.7,6.1,48.8,226.0,, , 
펼치기 DPS,0,0,0,0,,, , 
  현금DPS,0,0,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
